Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10001,Division Alma,Produits forestiers Résolu,Alma,1100 Melançon Street,G8B 5W2,Quebec,48.565,-71.65556,39.08,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Mechanical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322111&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10001-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110001&GoCTemplateCulture=en-CA
"
10002,Aciérie - ArcelorMittal Contrecoeur,ArcelorMittal Produits Longs Canada s.e.n.c,Contrecoeur,0 3900 Route des Aciéries,J0L 1C0,Quebec,45.82055,-73.26362,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10002-2017.html,"http://indicators-map.canada.ca/App/Detail?id=0110002&GoCTemplateCulture=en-CA
"
10003,"Foothills Pipeline, Alberta",Foothills Pipe Lines Ltd.,Airdrie,,T4A 2G7,Alberta,0,0,352.66,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10003-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110003&GoCTemplateCulture=en-CA
"
10004,Kingston CoGen,Validus Power Corp,Bath,5146 Taylor-Kidd Boulevard,K0H 1G0,Ontario,44.2095,-76.7246,1.01,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10004-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110004&GoCTemplateCulture=en-CA
"
10005,AGC Flat glass North America ltée,AGC Flat glass North America ltée,St Augustin De Desmaures,250 rue de Copenhague,G3A 2H3,Quebec,0,0,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Glass Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327214&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10005-2007.html,"http://indicators-map.canada.ca/App/Detail?id=0110005&GoCTemplateCulture=en-CA
"
10006,Redwater Fertilizer Operations,Nutrien (Canada) Holdings ULC.,Sturgeon County,56225 SH643,T0A 2W0,Alberta,53.842,-113.093,1226.4,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10006-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110006&GoCTemplateCulture=en-CA
"
10007,Alberta Envirofuels,Keyera Corp,Edmonton,9511 17 Street Northwest,T6P 1Y3,Alberta,53.53199,-113.36492,299.15,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Petrochemical Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10007-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110007&GoCTemplateCulture=en-CA
"
10008,Alliance Pipeline Ltd. - AB Pipeline System,Alliance Pipeline Ltd. Partnership,Calgary,200 425 1st Street Southwest,T2P 3L8,Alberta,51.049,-114.067,559.69,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10008-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110008&GoCTemplateCulture=en-CA
"
10009,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,,T0A 0M0,Alberta,54.92312,-112.86187,165.07,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Chemical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10009-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110009&GoCTemplateCulture=en-CA
"
10010,Rio Tinto Alcan Inc.,Rio Tinto Alcan Inc,Kitimat,1 Smeltersite Road,V8C 2H2,British Columbia,54.00286,-128.69531,420.39,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10010-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110010&GoCTemplateCulture=en-CA
"
10011,Algoma Steel Inc,Algoma Steel Inc.,Sault Ste. Marie,105 West Street North,P6A 7B4,Ontario,46.5217,-84.3637,3936.24,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10011-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110011&GoCTemplateCulture=en-CA
"
