naics_code,naics_desc,region,category,measure,unit,year,value,source
2122,Metal ore mining,Canada,Elec_Gen,Natural Gas,GWh,2022,"1,886",CEEDC estimate
2122,Metal ore mining,Canada,Elec_Gen,Petcoke,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Propane,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Refinery Fuel Gas,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Spent Pulping Liquor,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Steam,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Waste,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Wood,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Nuclear,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Hydro,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Wind,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Solar,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Marine,GWh,2022,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Total,GWh,2022,"1,980",CEEDC estimate
2122,Metal ore mining,Canada,Elec_Gen,Diesel,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Gasoline,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Heavy Fuel Oil,GWh,2021,61,CEEDC estimate
2122,Metal ore mining,Canada,Elec_Gen,Light Fuel Oil,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Natural Gas,GWh,2021,"1,872",CEEDC estimate
2122,Metal ore mining,Canada,Elec_Gen,Petcoke,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Propane,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Refinery Fuel Gas,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Spent Pulping Liquor,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Steam,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Waste,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Wood,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Nuclear,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Hydro,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Wind,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Solar,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
2122,Metal ore mining,Canada,Elec_Gen,Marine,GWh,2021,0,"Statistics Canada, Table 25-10-0028"
