Method,Impact Category,Subcategory
"IMPACT World+ v2.0.1, footprint version",climate change,carbon footprint
"IMPACT World+ v2.0.1, footprint version",ecosystem quality,remaining ecosystem quality damage
"IMPACT World+ v2.0.1, footprint version",energy resources: non-renewable,fossil and nuclear energy use
"IMPACT World+ v2.0.1, footprint version",human health,remaining human health damage
"IMPACT World+ v2.0.1, footprint version",water use,water scarcity footprint
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,"Climate change, ecosystem quality, long term"
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,"Climate change, ecosystem quality, short term"
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Human health,"Climate change, human health, long term"
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Human health,"Climate change, human health, short term"
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,"Climate change, long term"
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,"Climate change, short term"
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,Fisheries impact
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,Fossil and nuclear energy use
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,Freshwater acidification
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,Freshwater acidification
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,Freshwater ecotoxicity
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,"Freshwater ecotoxicity, long term"
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,"Freshwater ecotoxicity, short term"
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,Freshwater eutrophication
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Ecosystem quality,Freshwater eutrophication
IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10,Midpoint,Human toxicity cancer
IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10,Human health,"Human toxicity cancer, long term"
