REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,Metal ore mining [2122],"Coal, quantity purchased (tonnes)",Tonnes,207878.0
2019,Canada,Metal ore mining [2122],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Metal ore mining [2122],"Coke, quantity purchased (tonnes)",Tonnes,133875.0
2019,Canada,Metal ore mining [2122],"Natural gas, quantity purchased (cubic metres)",Cubic metres,120071766.0
2019,Canada,Metal ore mining [2122],"Gasoline - aviation, quantity purchased (litres)",Litres,13440643.0
2019,Canada,Metal ore mining [2122],"Gasoline - motor, quantity purchased (litres)",Litres,45997878.0
2019,Canada,Metal ore mining [2122],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Metal ore mining [2122],"Diesel fuel, quantity purchased (litres)",Litres,954370594.0
2019,Canada,Metal ore mining [2122],"Light Fuel Oil, quantity purchased (litres)",Litres,8173772.0
2019,Canada,Metal ore mining [2122],"Heavy Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Metal ore mining [2122],"Propane, quantity purchased (litres)",Litres,120859914.0
2019,Canada,Metal ore mining [2122],"Butane, quantity purchased (litres)",Litres,563557.0
2019,Canada,Metal ore mining [2122],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,12677387872.0
2019,Canada,Metal ore mining [2122],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Metal ore mining [2122],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Metal ore mining [2122],"Water, quantity purchased (litres)",Litres,526194430.0
2019,Canada,Iron ore mining [21221],"Coal, quantity purchased (tonnes)",Tonnes,207878.0
2019,Canada,Iron ore mining [21221],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Iron ore mining [21221],"Coke, quantity purchased (tonnes)",Tonnes,133875.0
2019,Canada,Iron ore mining [21221],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,Iron ore mining [21221],"Gasoline - aviation, quantity purchased (litres)",Litres,2997838.0
2019,Canada,Iron ore mining [21221],"Gasoline - motor, quantity purchased (litres)",Litres,7383597.0
2019,Canada,Iron ore mining [21221],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Iron ore mining [21221],"Diesel fuel, quantity purchased (litres)",Litres,191324372.0
