REF_DATE,GEO,Products,Variables,UOM,VALUE,TYPE
2019,Canada,Barite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2020,Canada,Barite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2021,Canada,Barite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2022,Canada,Barite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2023,Canada,Barite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2019,Canada,Clay (tonnes),Quantity produced,Tonnes,634571.0,Aggregates
2020,Canada,Clay (tonnes),Quantity produced,Tonnes,217611.0,Aggregates
2021,Canada,Clay (tonnes),Quantity produced,Tonnes,216418.0,Aggregates
2022,Canada,Clay (tonnes),Quantity produced,Tonnes,261431.0,Aggregates
2023,Canada,Clay (tonnes),Quantity produced,Tonnes,212118.0,Aggregates
2023,Canada,Clay products (tonnes),Quantity produced,Tonnes,369443.0,Aggregates
2022,Canada,Clay products (tonnes),Quantity produced,Tonnes,362338.0,Aggregates
2019,Canada,Clay products (tonnes),Quantity produced,Tonnes,249738.0,Aggregates
2020,Canada,Clay products (tonnes),Quantity produced,Tonnes,453422.0,Aggregates
2021,Canada,Clay products (tonnes),Quantity produced,Tonnes,332305.0,Aggregates
2023,Canada,"Cobalt, recoverable (tonnes)",Quantity produced,Tonnes,5099.0,Metals
2019,Canada,"Cobalt, recoverable (tonnes)",Quantity produced,Tonnes,5039.0,Metals
2020,Canada,"Cobalt, recoverable (tonnes)",Quantity produced,Tonnes,4069.0,Metals
2021,Canada,"Cobalt, recoverable (tonnes)",Quantity produced,Tonnes,3953.0,Metals
2022,Canada,"Cobalt, recoverable (tonnes)",Quantity produced,Tonnes,3534.0,Metals
2022,Canada,"Copper, concentrates (tonnes)",Quantity produced,Tonnes,1517853.0,Metals
2021,Canada,"Copper, concentrates (tonnes)",Quantity produced,Tonnes,1600117.0,Metals
2019,Canada,"Copper, concentrates (tonnes)",Quantity produced,Tonnes,1659999.0,Metals
2020,Canada,"Copper, concentrates (tonnes)",Quantity produced,Tonnes,1805567.0,Metals
2019,Canada,"Copper, recoverable (tonnes)",Quantity produced,Tonnes,557242.0,Metals
2020,Canada,"Copper, recoverable (tonnes)",Quantity produced,Tonnes,581713.0,Metals
2021,Canada,"Copper, recoverable (tonnes)",Quantity produced,Tonnes,509350.0,Metals
2022,Canada,"Copper, recoverable (tonnes)",Quantity produced,Tonnes,509062.0,Metals
2023,Canada,"Copper, recoverable (tonnes)",Quantity produced,Tonnes,508250.0,Metals
2023,Canada,Diamonds (carats),Quantity produced,Carats,16160688.0,Non_metals
2021,Canada,Diamonds (carats),Quantity produced,Carats,16865216.0,Non_metals
2022,Canada,Diamonds (carats),Quantity produced,Carats,16217233.0,Non_metals
2019,Canada,Diamonds (carats),Quantity produced,Carats,18573661.0,Non_metals
2020,Canada,Diamonds (carats),Quantity produced,Carats,14208812.0,Non_metals
