REF_DATE,GEO,DGUID,Products,Variables,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Canada,2016A000011124,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277417550,1.76.1,,x,,,0
2019,Canada,2016A000011124,"Total metals recoverable, non-metals and aggregates, clay and refractory minerals (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277495960,1.1.4,43838530,,,,0
2019,Canada,2016A000011124,"Metals, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417446,1.2.4,29694819,,,,0
2019,Atlantic region,2016A00011,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277419798,2.76.1,,..,,,0
2019,Canada,2016A000011124,"Cobalt, recoverable (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417465,1.3.2,4365,,,,0
2019,Canada,2016A000011124,"Cobalt, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417484,1.4.4,180029,,,,0
2019,Newfoundland and Labrador,2016A000210,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277420079,3.76.1,0,,,,0
2019,Canada,2016A000011124,"Copper, concentrates (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417504,1.5.2,1663723,,,,0
2019,Canada,2016A000011124,"Copper, concentrates (tonnes)",Closing inventories,Tonnes,287,units,0,v1277417505,1.5.3,58613,,,,0
2019,Canada,2016A000011124,"Copper, concentrates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417520,1.6.4,4725205,,,,0
2019,Prince Edward Island,2016A000211,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277420360,4.76.1,0,,,,0
2019,Canada,2016A000011124,"Copper, recoverable (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417540,1.7.2,551562,,,,0
2019,Canada,2016A000011124,"Copper, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417558,1.8.4,4293553,,,,0
2019,Nova Scotia,2016A000212,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277420641,5.76.1,0,,,,0
2019,Canada,2016A000011124,"Gold and silver bullion, crude and dore (kilograms)",Quantity shipped,Kilograms,192,units,0,v1277417580,1.9.2,232178,,,,0
2019,Canada,2016A000011124,"Gold and silver bullion, crude and dore (kilograms)",Closing inventories,Kilograms,192,units,0,v1277417581,1.9.3,15749,,,,0
2019,Canada,2016A000011124,"Gold and silver bullion, crude and dore (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417321,1.10.4,9770797,,,,0
2019,New Brunswick,2016A000213,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277420922,6.76.1,0,,,,0
2019,Canada,2016A000011124,"Gold, concentrates (kilograms)",Quantity shipped,Kilograms,192,units,0,v1277417342,1.11.2,,x,,,0
2019,Canada,2016A000011124,"Gold, concentrates (kilograms)",Closing inventories,Kilograms,192,units,0,v1277417343,1.11.3,,x,,,0
2019,Canada,2016A000011124,"Gold, concentrates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417368,1.12.4,,x,,,0
2019,Quebec,2016A000224,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277421203,7.76.1,0,,,,0
2019,Canada,2016A000011124,"Gold, recoverable (kilograms)",Quantity shipped,Kilograms,192,units,0,v1277417386,1.13.2,189516,,,,0
2019,Canada,2016A000011124,"Gold, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417411,1.14.4,11373300,,,,0
2019,Ontario,2016A000235,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277421484,8.76.1,0,,,,0
2019,Canada,2016A000011124,"Ilmenite, concentrates (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417429,1.15.2,,x,,,0
2019,Canada,2016A000011124,"Ilmenite, concentrates (tonnes)",Closing inventories,Tonnes,287,units,0,v1277417430,1.15.3,,x,,,0
2019,Canada,2016A000011124,"Ilmenite, concentrates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417439,1.16.4,,x,,,0
2019,Prairies region,2016A00014,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277421765,9.76.1,,..,,,0
2019,Canada,2016A000011124,"Ilmenite, recoverable (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417441,1.17.2,0,,,,0
2019,Canada,2016A000011124,"Ilmenite, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417442,1.18.4,,..,,,0
2019,Manitoba,2016A000246,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277417831,10.76.1,0,,,,0
2019,Canada,2016A000011124,"Iron, agglomerates (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417444,1.19.2,19172903,,,,0
2019,Canada,2016A000011124,"Iron, agglomerates (tonnes)",Closing inventories,Tonnes,287,units,0,v1277417445,1.19.3,,x,,,0
2019,Canada,2016A000011124,"Iron, agglomerates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417447,1.20.4,2865658,,,,0
2019,Saskatchewan,2016A000247,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277418112,11.76.1,0,,,,0
2019,Canada,2016A000011124,"Iron, concentrates (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417449,1.21.2,35722504,,,,0
2019,Canada,2016A000011124,"Iron, concentrates (tonnes)",Closing inventories,Tonnes,287,units,0,v1277417450,1.21.3,5652296,,,,0
2019,Canada,2016A000011124,"Iron, concentrates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417451,1.22.4,3579753,,,,0
2019,Alberta,2016A000248,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277418393,12.76.1,0,,,,0
2019,Canada,2016A000011124,"Iron, remelt (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417453,1.23.2,,x,,,0
2019,Canada,2016A000011124,"Iron, remelt (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417454,1.24.4,,x,,,0
2019,British Columbia,2016A000259,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277418674,13.76.1,,x,,,0
2019,Canada,2016A000011124,"Lead, concentrates (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417456,1.25.2,,x,,,0
2019,Canada,2016A000011124,"Lead, concentrates (tonnes)",Closing inventories,Tonnes,287,units,0,v1277417457,1.25.3,1071,,,,0
2019,Canada,2016A000011124,"Lead, concentrates (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417458,1.26.4,,x,,,0
2019,Yukon,2016A000260,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277418955,14.76.1,0,,,,0
2019,Canada,2016A000011124,"Lead, recoverable (tonnes)",Quantity shipped,Tonnes,287,units,0,v1277417460,1.27.2,,x,,,0
2019,Canada,2016A000011124,"Lead, recoverable (Thousands of dollars)",Value of shipments,Thousands of dollars,284,units,0,v1277417461,1.28.4,,x,,,0
2019,Northwest Territories,2016A000261,Barite (tonnes),Quantity produced,Tonnes,287,units,0,v1277419236,15.76.1,0,,,,0
2019,Canada,2016A000011124,"Lithium, recoverable (kilograms)",Quantity shipped,Kilograms,192,units,0,v1277417463,1.29.2,0,,,,0
