"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Production, shipments and value of shipments of metallic and non-metallic minerals, annual","16100022",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610002201",1;2;3;7;8,"CURRENT - a cube available to the public and that is current","Annual","2019-01-01","2023-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Products",,""
"3","Variables",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Atlantic region","[1]","2","1","",,
"1","Quebec","[24]","7","1","",,
"1","Ontario","[35]","8","1","",,
"1","Prairies region","[4]","9","1","",,
"1","British Columbia","[59]","13","1","",,
"1","Yukon","[60]","14","1","",,
"1","Northwest Territories","[61]","15","1","",,
"1","Nunavut","[62]","16","1","",,
"1","Newfoundland and Labrador","[10]","3","2","",,
"1","Prince Edward Island","[11]","4","2","",,
"1","Nova Scotia","[12]","5","2","",,
"1","New Brunswick","[13]","6","2","",,
"1","Manitoba","[46]","10","9","",,
"1","Saskatchewan","[47]","11","9","",,
"1","Alberta","[48]","12","9","",,
"1","Canada","[11124]","1","","",,
"2","Aggregates, clay and refractory minerals (Thousands of dollars)","","154","1","",,
"2","Metals, recoverable (Thousands of dollars)","","2","1","",,
"2","Non-metals (Thousands of dollars)","","75","1","",,
"2","Cobalt, recoverable (tonnes)","","3","2","",,
"2","Cobalt, recoverable (Thousands of dollars)","","4","2","",,
"2","Copper, concentrates (tonnes)","","5","2","",,
"2","Copper, concentrates (Thousands of dollars)","","6","2","",,
"2","Copper, recoverable (tonnes)","","7","2","",,
"2","Copper, recoverable (Thousands of dollars)","","8","2","",,
"2","Gold and silver bullion, crude and dore (kilograms)","","9","2","",,
"2","Gold and silver bullion, crude and dore (Thousands of dollars)","","10","2","",,
"2","Gold, concentrates (kilograms)","","11","2","",,
"2","Gold, concentrates (Thousands of dollars)","","12","2","",,
"2","Gold, recoverable (kilograms)","","13","2","",,
"2","Gold, recoverable (Thousands of dollars)","","14","2","",,
"2","Ilmenite, concentrates (tonnes)","","15","2","",,
"2","Ilmenite, concentrates (Thousands of dollars)","","16","2","",,
"2","Ilmenite, recoverable (tonnes)","","17","2","",,
"2","Ilmenite, recoverable (Thousands of dollars)","","18","2","",,
"2","Iron, agglomerates (tonnes)","","19","2","",,
"2","Iron, agglomerates (Thousands of dollars)","","20","2","",,
"2","Iron, concentrates (tonnes)","","21","2","",,
"2","Iron, concentrates (Thousands of dollars)","","22","2","",,
"2","Iron, remelt (tonnes)","","23","2","",,
"2","Iron, remelt (Thousands of dollars)","","24","2","",,
"2","Lead, concentrates (tonnes)","","25","2","",,
"2","Lead, concentrates (Thousands of dollars)","","26","2","",,
"2","Lead, recoverable (tonnes)","","27","2","",,
"2","Lead, recoverable (Thousands of dollars)","","28","2","",,
"2","Lithium, recoverable (kilograms)","","29","2","",,
"2","Lithium, recoverable (Thousands of dollars)","","30","2","",,
"2","Molybdenum, concentrates (tonnes)","","31","2","",,
"2","Molybdenum, concentrates (Thousands of dollars)","","32","2","",,
"2","Molybdenum, recoverable (tonnes)","","33","2","",,
"2","Molybdenum, recoverable (Thousands of dollars)","","34","2","",,
"2","Nickel, concentrates (tonnes)","","35","2","",,
"2","Nickel, concentrates (Thousands of dollars)","","36","2","",,
"2","Nickel, recoverable (tonnes)","","37","2","",,
"2","Nickel, recoverable (Thousands of dollars)","","38","2","",,
"2","Niobium, concentrates (kilograms)","","39","2","",,
"2","Niobium, concentrates (Thousands of dollars)","","40","2","",,
"2","Niobium, recoverable (kilograms)","","41","2","",,
"2","Niobium, recoverable (Thousands of dollars)","","42","2","",,
"2","Palladium, concentrates (kilograms)","","43","2","",,
"2","Palladium, concentrates (Thousands of dollars)","","44","2","",,
"2","Platinum group, recoverable (grams)","","45","2","",,
"2","Platinum group, recoverable (Thousands of dollars)","","51","2","",,
"2","Silver, concentrates (kilograms)","","57","2","",,
"2","Silver, concentrates (Thousands of dollars)","","58","2","",,
"2","Silver, recoverable (kilograms)","","59","2","",,
"2","Silver, recoverable (Thousands of dollars)","","60","2","",,
"2","Spodumene, concentrates (kilograms)","","61","2","",,
"2","Spodumene, concentrates (Thousands of dollars)","","62","2","",,
"2","Tantalum, concentrates (kilograms)","","63","2","",,
"2","Tantalum, concentrates (Thousands of dollars)","","64","2","",,
"2","Titanium dioxide, recoverable (tonnes)","","65","2","",,
"2","Titanium dioxide, recoverable (Thousands of dollars)","","66","2","",,
"2","Uranium, concentrates (tonnes)","","67","2","",,
"2","Uranium, concentrates (Thousands of dollars)","","68","2","",,
"2","Uranium, recoverable (tonnes)","","69","2","",,
"2","Uranium, recoverable (Thousands of dollars)","","70","2","",,
"2","Zinc, concentrates (tonnes)","","71","2","",,
"2","Zinc, concentrates (Thousands of dollars)","","72","2","",,
"2","Zinc, recoverable (tonnes)","","73","2","",,
"2","Zinc, recoverable (Thousands of dollars)","","74","2","",,
"2","Iridium, recoverable (grams)","","46","45","",,
"2","Palladium, recoverable (grams)","","47","45","",,
"2","Platinum, recoverable (grams)","","48","45","",,
"2","Rhodium, recoverable (grams)","","49","45","",,
"2","Ruthenium, recoverable (grams)","","50","45","",,
"2","Iridium, recoverable (Thousands of dollars)","","52","51","",,
"2","Palladium, recoverable (Thousands of dollars)","","53","51","",,
"2","Platinum, recoverable (Thousands of dollars)","","54","51","",,
"2","Rhodium, recoverable (Thousands of dollars)","","55","51","",,
"2","Ruthenium, recoverable (Thousands of dollars)","","56","51","",,
"2","Serpentine (tonnes)","","130","75","",,
"2","Serpentine (Thousands of dollars)","","131","75","",,
"2","Soapstone, pyrophyllite and talc (tonnes)","","132","75","",,
"2","Soapstone, pyrophyllite and talc  (Thousands of dollars)","","133","75","",,
"2","Sodium sulphate (tonnes)","","134","75","",,
"2","Sodium sulphate (Thousands of dollars)","","135","75","",,
"2","Wollastonite (tonnes)","","150","75","",,
"2","Wollastonite (Thousands of dollars)","","151","75","",,
"2","Zeolite (tonnes)","","152","75","",,
"2","Zeolite (Thousands of dollars)","","153","75","",,
"2","Mica (tonnes)","","102","75","",,
"2","Mica (Thousands of dollars)","","103","75","",,
"2","Peat (tonnes)","","106","75","",,
"2","Peat (Thousands of dollars)","","107","75","",,
"2","Potash, muriate of potash (MOP) (tonnes)","","110","75","",,
"2","Potash, muriate of potash (MOP) (Thousands of dollars)","","111","75","",,
"2","Potassium sulphate (tonnes)","","112","75","",,
"2","Potassium sulphate (Thousands of dollars)","","113","75","",,
"2","Pumice (tonnes)","","114","75","",,
"2","Pumice (Thousands of dollars)","","115","75","",,
"2","Salt (tonnes)","","116","75","",,
"2","Salt (Thousands of dollars)","","120","75","",,
"2","Barite (tonnes)","","76","75","",,
"2","Barite (Thousands of dollars)","","77","75","",,
"2","Diamonds (carats)","","78","75","",,
"2","Diamonds (Thousands of dollars)","","79","75","",,
"2","Gemstones (kilograms)","","84","75","",,
"2","Gemstones (Thousands of dollars)","","85","75","",,
"2","Graphite (tonnes)","","86","75","",,
"2","Graphite (Thousands of dollars)","","87","75","",,
