Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_note,Reserves_t,Reserves_notes,,,
MCS2024,United States1,Refinery production,212,220,Reported quantity in 2022,NA,,,,
MCS2024,Australia,Refinery production,328,380,Reported quantity in 2022,NA,,,,
MCS2024,Bulgaria,Refinery production,340,340,,NA,,,,
MCS2024,Canada,Refinery production,1800,1800,,NA,,,,
MCS2024,China,Refinery production,8700,9000,,NA,,,,
MCS2024,Germany,Refinery production,320,0,,NA,,,,
MCS2024,Japan,Refinery production,1800,1800,,NA,,,,
MCS2024,Kazakhstan,Refinery production,1000,1000,,NA,,,,
MCS2024,"Korea, Republic of",Refinery production,4000,4000,,NA,,,,
MCS2024,Mexico,Refinery production,1170,1100,Reported quantity in 2022,NA,,,,
MCS2024,Netherlands,Refinery production,574,750,,NA,,,,
MCS2024,Norway,Refinery production,420,380,,NA,,,,
MCS2024,Peru,Refinery production,460,790,Reported quantity in 2022,NA,,,,
MCS2024,Poland,Refinery production,250,230,,NA,,,,
MCS2024,Russia,Refinery production,1000,1000,,NA,,,,
MCS2024,Uzbekistan,Refinery production,220,220,,NA,,,,
MCS2024,World total (rounded),Refinery production,22600,23000,,NA,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
