Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Mine production, recoverable copper content",1230 ,1100 ,,50000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Australia,"Mine production, recoverable copper content",819 ,810 ,,100000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 27 million tons. World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Mine production, recoverable copper content",520 ,480 ,,7600,
MCS2024,Chile,"Mine production, recoverable copper content",5330 ,5000 ,,190000,
MCS2024,China,"Mine production, recoverable copper content",1940 ,1700 ,,41000,
MCS2024,Congo (Kinshasa),"Mine production, recoverable copper content",2350 ,2500 ,,80000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Germany,"Mine production, recoverable copper content",0 ,0 ,,0,
MCS2024,Indonesia,"Mine production, recoverable copper content",941 ,840 ,,24000,
MCS2024,Japan,"Mine production, recoverable copper content",0 ,0 ,,0,
MCS2024,Kazakhstan,"Mine production, recoverable copper content",593 ,600 ,,20000,
MCS2024,"Korea, Republic of","Mine production, recoverable copper content",0 ,0 ,,0,
MCS2024,Mexico,"Mine production, recoverable copper content",754 ,750 ,,53000,
MCS2024,Peru,"Mine production, recoverable copper content",2450 ,2600 ,,120000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Poland,"Mine production, recoverable copper content",393 ,400 ,,34000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Russia,"Mine production, recoverable copper content",936 ,910 ,Also estimated in 2022,80000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Zambia,"Mine production, recoverable copper content",797 ,760 ,,21000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Mine production, recoverable copper content",2850 ,3100 ,,180000,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Mine production, recoverable copper content",21900 ,22000 ,,1000000,
MCS2024,United States,"Refinery production, copper",952 ,890 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Australia,"Refinery production, copper",401 ,450 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Refinery production, copper",278 ,310 ,,,
MCS2024,Chile,"Refinery production, copper",2150 ,2000 ,,,
MCS2024,China,"Refinery production, copper",11100 ,12000 ,,,
MCS2024,Congo (Kinshasa),"Refinery production, copper",1770 ,1900 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Germany,"Refinery production, copper",609 ,610 ,,,
MCS2024,Indonesia,"Refinery production, copper",310 ,200 ,,,
MCS2024,Japan,"Refinery production, copper",1550 ,1500 ,,,
MCS2024,Kazakhstan,"Refinery production, copper",494 ,440 ,,,
MCS2024,"Korea, Republic of","Refinery production, copper",638 ,620 ,,,
MCS2024,Mexico,"Refinery production, copper",486 ,480 ,,,
MCS2024,Peru,"Refinery production, copper",391 ,400 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Poland,"Refinery production, copper",586 ,590 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Russia,"Refinery production, copper",1010 ,1000 ,Also estimated in 2022,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Zambia,"Refinery production, copper",349 ,380 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Refinery production, copper",2830 ,2900 ,,,"World Mine and Refinery Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Peru, Poland, Russia, the United States, Zambia, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Refinery production, copper",25900 ,27000 ,,,
,,,,,,,
