Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States1,"Mine production, diatomite",827,830,,250000,
MCS2024,Argentina,"Mine production, diatomite",100,100,,NA,
MCS2024,China,"Mine production, diatomite",270,270,,170000,Reserves for China and Spain were revised based on Government reports
MCS2024,Czechia,"Mine production, diatomite",46,50,,NA,
MCS2024,Denmark (processed)5,"Mine production, diatomite",440,440,,NA,
MCS2024,France,"Mine production, diatomite",75,80,,NA,
MCS2024,Germany,"Mine production, diatomite",50,50,,NA,
MCS2024,"Korea, Republic of","Mine production, diatomite",50,50,,NA,
MCS2024,Mexico,"Mine production, diatomite",96,100,,NA,
MCS2024,Mozambique,"Mine production, diatomite",73,75,,NA,
MCS2024,Peru,"Mine production, diatomite",95,100,,NA,
MCS2024,Russia,"Mine production, diatomite",51,50,,NA,
MCS2024,Spain,"Mine production, diatomite",50,55,,57000,Reserves for China and Spain were revised based on Government reports
MCS2024,Turkey,"Mine production, diatomite",210,210,,44000,
MCS2024,Other countries,"Mine production, diatomite",171,170,,       NA,
MCS2024,World total (rounded),"Mine production, diatomite",2600,2600,,       NA,Considered to be large
