Source,Country,Type,Prod_mmt_2022,Prod_mmt_est_2023,Prod_notes,Reserves_mmt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Pig iron, million metric tons",20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Pig iron, million metric tons",27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Pig iron, million metric tons",6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Pig iron, million metric tons",866,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Pig iron, million metric tons",24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Pig iron, million metric tons",80,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,"Pig iron, million metric tons",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Italy,"Pig iron, million metric tons",3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Pig iron, million metric tons",64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Pig iron, million metric tons",42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Pig iron, million metric tons",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Pig iron, million metric tons",52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Taiwan,"Pig iron, million metric tons",13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Pig iron, million metric tons",9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,"Pig iron, million metric tons",6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Pig iron, million metric tons",12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Pig iron, million metric tons",67,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Pig iron, million metric tons",1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Raw steel, million metric tons",81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Raw steel, million metric tons",34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Raw steel, million metric tons",12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Raw steel, million metric tons",1020,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Raw steel, million metric tons",37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Raw steel, million metric tons",125,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,"Raw steel, million metric tons",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Italy,"Raw steel, million metric tons",22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Raw steel, million metric tons",89,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Raw steel, million metric tons",66,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Raw steel, million metric tons",18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Raw steel, million metric tons",72,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Taiwan,"Raw steel, million metric tons",21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Raw steel, million metric tons",35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,"Raw steel, million metric tons",6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Raw steel, million metric tons",20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Raw steel, million metric tons",195,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Raw steel, million metric tons",1880,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
