Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,
MCS2024,United States,Mine production - mica scrap and flake,42000,38000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,Canada,Mine production - mica scrap and flake,15000,15000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,China,Mine production - mica scrap and flake,80000,85000,,1100000,Reserves for China were revised based on Government reports,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,Mine production - mica scrap and flake,58200,60000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,France,Mine production - mica scrap and flake,15000,10000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,India,Mine production - mica scrap and flake,14000,14000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of",Mine production - mica scrap and flake,10200,12000,,11000000,,,,,,,,,,,,,,,,,,,,
MCS2024,Madagascar,Mine production - mica scrap and flake,35000,50000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Mine production - mica scrap and flake,6070,4000,,620000,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,Mine production - mica scrap and flake,42500,39000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Mine production - mica scrap and flake,318000,330000,,NA,"Categorized as ""Large""",,,,,,,,,,,,,,,,,,,
MCS2024,United States,Mine production - mica sheet,NA,NA,,Very small,"Categorized as ""Very Small""",,,,,,,,,,,,,,,,,,,
MCS2024,Canada,Mine production - mica sheet,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Mine production - mica sheet,NA,NA,,75000,,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,Mine production - mica sheet,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,France,Mine production - mica sheet,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,India,Mine production - mica sheet,1000,1000,,110000,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of",Mine production - mica sheet,0,0,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,Madagascar,Mine production - mica sheet,0,0,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Mine production - mica sheet,0,0,,NA,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,Mine production - mica sheet,200,200,,NA,"Categorized as ""Moderate""",,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Mine production - mica sheet,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
