Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production - nickel, metric tons contained",17500,17000,,340000,"Includes reserve data for three projects. An additional three domestic projects have defined resources but have not yet defined reserves.Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production - nickel, metric tons contained",155000,160000,,24000000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 8.6 million tons. Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production - nickel, metric tons contained",88500,89000,,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Mine production - nickel, metric tons contained",143000,180000,,2200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production - nickel, metric tons contained",114000,110000,Also estimated in 2022,4200000,"Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Indonesia,"Mine production - nickel, metric tons contained",1580000,1800000,,55000000,"Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,New Caledonia9,"Mine production - nickel, metric tons contained",200000,230000,,7100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Philippines,"Mine production - nickel, metric tons contained",345000,400000,Also estimated in 2022,4800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production - nickel, metric tons contained",222000,200000,,8300000,"Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production - nickel, metric tons contained",404000,380000,,"    >9,100,000","Reserves for Australia, China, Indonesia, Russia, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production - nickel, metric tons contained",3270000,3600000,,">130,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
