Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, niobium content",0,0,,210000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, niobium content",75600,75000,,16000000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Mine production, niobium content",6700,7000,,1600000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Congo (Kinshasa),"Mine production, niobium content",710,540,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, niobium content",381,440,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Rwanda,"Mine production, niobium content",199,190,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, niobium content",127,150,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, niobium content",83700,83000,,               NA,">17,000,000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
