Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, perlite",458,450,Processed ore sold and used by producers.,50000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Argentinae,"Mine production, perlite",18,20,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Armeniae,"Mine production, perlite",170,180,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chinae,"Mine production, perlite",1500,1500,,32000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Georgia,"Mine production, perlite",20,20,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Greecee,"Mine production, perlite",1100,1100,,180000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Hungarye,"Mine production, perlite",77,80,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Irane,"Mine production, perlite",77,80,,15000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexicoe,"Mine production, perlite",24,20,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,New Zealande,"Mine production, perlite",18,20,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Philippines,"Mine production, perlite",25,20,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Slovakiae,"Mine production, perlite",35,40,,30000,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkeye,"Mine production, perlite",1400,1400,,NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countriese,"Mine production, perlite",14,10,,       NA,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, perlite",4940,4900,,NA,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
