Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, phosphate rock ore","19,800",20000,Also estimated in 2022,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Algeria,"Mine production, phosphate rock ore","1,800",1800,Also estimated in 2022,2200000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, phosphate rock ore","2,500",2500,Also estimated in 2022,1100000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 120 million tons.",,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, phosphate rock ore","6,200",5300,Also estimated in 2022,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China6,"Mine production, phosphate rock ore","93,000",90000,Also estimated in 2022,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Egypt,"Mine production, phosphate rock ore","5,000",4800,Also estimated in 2022,2800000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,"Mine production, phosphate rock ore",923,950,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Mine production, phosphate rock ore","1,740",1500,Also estimated in 2022,31000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Israel,"Mine production, phosphate rock ore",2170,2500,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Jordan,"Mine production, phosphate rock ore",11300,12000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,"Mine production, phosphate rock ore","1,500",2000,Also estimated in 2022,260000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Mine production, phosphate rock ore",442,500,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Morocco,"Mine production, phosphate rock ore",39000,35000,,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,"Mine production, phosphate rock ore",4200,4200,,210000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, phosphate rock ore","14,000",14000,Also estimated in 2022,2400000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Saudi Arabia,"Mine production, phosphate rock ore","9,000",8500,Also estimated in 2022,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Senegal,"Mine production, phosphate rock ore","2,600",2500,Also estimated in 2022,50000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,"Mine production, phosphate rock ore",1990,1600,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Syria,"Mine production, phosphate rock ore","1,100",800,Also estimated in 2022,250000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Togo,"Mine production, phosphate rock ore","1,500",1500,Also estimated in 2022,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Tunisia,"Mine production, phosphate rock ore",3560,3600,,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Mine production, phosphate rock ore",900,800,Also estimated in 2022,71000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uzbekistan,"Mine production, phosphate rock ore",900,900,Also estimated in 2022,100000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Mine production, phosphate rock ore","2,000",2000,Also estimated in 2022,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, phosphate rock ore",750,800,,800000,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, phosphate rock ore",228000,220000,,74000000,,,,,,,,,,,,,,,,,,,,,,,,,,
