Source,Country,Type,Prod_kg_2022,Prod_kg_est_2023,Prod_notes,Reserves_kg,Reserves_notes
MCS2024,United States, Mine production: Palladium,10100,9800,,NA,Included with platinum
MCS2024,Canada, Mine production: Palladium,16100,16000,,NA,Included with platinum
MCS2024,Russiae, Mine production: Palladium,87000,92000,,NA,Included with platinum
MCS2024,South Africa, Mine production: Palladium,73100,71000,,NA,Included with platinum
MCS2024,Zimbabwe, Mine production: Palladium,14300,15000,,NA,Included with platinum
MCS2024,Other countries, Mine production: Palladium,2700,2700,,NA,Included with platinum
MCS2024,World total (rounded), World mine production: Palladium,203000,210000,,NA,Included with platinum
MCS2024,United States, Mine production: Platinum,3000,2900,,820000,Includes all platinum-group metals
MCS2024,Canada, Mine production: Platinum,5400,5500,,310000,Includes all platinum-group metals
MCS2024,Russiae, Mine production: Platinum,20000,23000,,5500000,Includes all platinum-group metals
MCS2024,South Africa, Mine production: Platinum,124000,120000,,63000000,Includes all platinum-group metals
MCS2024,Zimbabwe, Mine production: Platinum,17000,19000,,1200000,Includes all platinum-group metals
MCS2024,Other countries, Mine production: Platinum,4580,4600,,             NA,Not available
MCS2024,World total (rounded), World mine production: Platinum,174000,180000,,71000000,Includes all platinum-group metals
