Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Refinery production, contained selenium",W,W,,11000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Belgium,"Refinery production, contained selenium",200,200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Refinery production, contained selenium",110,120,,6000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Refinery production, contained selenium",1290,1500,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,"Refinery production, contained selenium",130,100,Reported in 2022,300,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Refinery production, contained selenium",300,300,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Refinery production, contained selenium",14,14,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Refinery production, contained selenium",710,780,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,"Refinery production, contained selenium",57,57,Reported in 2022,19000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Poland,"Refinery production, contained selenium",82,95,Reported in 2022,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Refinery production, contained selenium",340,360,,26000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,"Refinery production, contained selenium",10,8,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Refinery production, contained selenium",50,50,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries10,"Refinery production, contained selenium",14,15,,24000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Refinery production, contained selenium",3310,3600,Excludes U.S. production.,95000,"The values shown for reserves reflect the estimated selenium content of copper reserves except for those for China, which represent reported reserves of selenium. Reserves for China were revised based on Government reports, and reserves for Finland, Peru, Russia, the United States, and “Other countries” were revised based on company reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
