Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, tantalum content",0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, tantalum content",46,43,,110000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 28,000 tons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, tantalum content",370,360,Also estimated in 2022,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Burundi,"Mine production, tantalum content",59,36,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, tantalum content",78,79,Also estimated in 2022,240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Congo (Kinshasa),"Mine production, tantalum content",890,980,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Nigeria,"Mine production, tantalum content",110,110,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, tantalum content",31,20,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Rwanda,"Mine production, tantalum content",347,520,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other,"Mine production, tantalum content",120,260,Also estimated in 2022,         NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, tantalum content",1990,2400,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
