Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Refinery production, tellurium content",W,W,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bulgaria,"Refinery production, tellurium content",3,3,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Refinery production, tellurium content",24,27,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Refinery production, tellurium content",380,430,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Refinery production, tellurium content",68,75,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Refinery production, tellurium content",70,75,,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,"Refinery production, tellurium content",4,5,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,"Refinery production, tellurium content",33,25,Reported in 2022,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uzbekistan,"Refinery production, tellurium content",3,3,Reported in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries10,"Refinery production, tellurium content",   NA,   NA,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Refinery production, tellurium content",584,640,Excludes U.S. production.,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
