Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, vanadium content",0,0,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, vanadium content",0,0,,8500,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 3 million tons. Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, vanadium content",5840,6400,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, vanadium content",66900,68000,,4400,"Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, vanadium content","e20,000",20000,Also estimated in 2022,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,"Mine production, vanadium content",8870,9100,,750,"Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, vanadium content",102000,100000,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
