Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,Mine production,100,100,Concentrate sold or used by producers. Data are rounded to the nearest hundred thousand tons to avoid disclosing company proprietary data. ,25000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,Mine production,70,70,,6600,8100,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 2.95 million tons. Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bulgaria,Mine production,10,10,,NA,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Mine production,39,39,,2900,4400,"Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,Mine production,4,4,,1600,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,Mine production,Less than ½ unit.,Less than ½ unit.,,NA,750,"Reserves for Australia, China, and South Africa were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,Mine production,29,29,,NA,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,South Africa,Mine production,183,160,reported in 2022,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Mine production,3,10,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uganda,Mine production,30,30,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uzbekistan,Mine production,3,3,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Zimbabwe,Mine production,45,45,,      NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),Mine production,516,500,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
