Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,"Mine production, zeolites",77400,84000,,80000000,Reported by two of the leading companies in the United States in 2022; total U.S. reserves likely were substantially larger. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chile,"Mine production, zeolites",297,400,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,"Mine production, zeolites",200000,200000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuba,"Mine production, zeolites",77500,78000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Georgia,"Mine production, zeolites",4810,5000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungary,"Mine production, zeolites",32000,31000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indonesia,"Mine production, zeolites",100000,100000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordan,"Mine production, zeolites",1000,1000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Korea, Republic of","Mine production, zeolites",16000,130000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippines,"Mine production, zeolites",6900,7100,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Zealand,"Mine production, zeolites",100000,100000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Russiae,"Mine production, zeolites",35000,35000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slovakia,"Mine production, zeolites",221000,220000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Turkey,"Mine production, zeolites",74500,70000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World total (rounded),"Mine production, zeolites",900000,1100000,,NA,"World data were unavailable, but reserves were estimated to be large.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
