Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Mine production, zinc content of concentrates and direct shipping ores",761,750,,6600,
MCS2024,Australia,"Mine production, zinc content of concentrates and direct shipping ores",1240,1100,,64000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 21 million tons"
MCS2024,Bolivia,"Mine production, zinc content of concentrates and direct shipping ores",518,490,,NA,
MCS2024,China,"Mine production, zinc content of concentrates and direct shipping ores",4040,4000,,44000,
MCS2024,India,"Mine production, zinc content of concentrates and direct shipping ores",840,860,,7400,
MCS2024,Kazakhstan,"Mine production, zinc content of concentrates and direct shipping ores",312,330,,6700,
MCS2024,Mexico,"Mine production, zinc content of concentrates and direct shipping ores",744,690,,14000,
MCS2024,Peru,"Mine production, zinc content of concentrates and direct shipping ores",1370,1400,,21000,
MCS2024,Russia,"Mine production, zinc content of concentrates and direct shipping ores",300,310,Also estimated in 2022,25000,
MCS2024,South Africa,"Mine production, zinc content of concentrates and direct shipping ores",238,230,,6200,
MCS2024,Sweden,"Mine production, zinc content of concentrates and direct shipping ores",234,220,,4100,
MCS2024,Other countries,"Mine production, zinc content of concentrates and direct shipping ores",1940,1800,,25000,
MCS2024,World total (rounded),"Mine production, zinc content of concentrates and direct shipping ores",12500,12000,,220000,
