Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt_2023,Reserves_notes
MCS2024,United States,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",100,100,Data are rounded to the nearest hundred thousand tons to avoid disclosing company proprietary data.,500,
MCS2024,Australia,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",500,500,,55000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 20 million tons, ZrO2 content. Zirconium reserves for Australia, China, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,China,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",140,140,,72,"Zirconium reserves for Australia, China, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Indonesia,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",97,90,,NA,
MCS2024,Kenya,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",27,30,,18,
MCS2024,Madagascar,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",27,30,,2300,
MCS2024,Mozambique,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",104,90,,1500,"Zirconium reserves for Australia, China, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Senegal,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",57,50,,2600,
MCS2024,Sierra Leone,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",34,30,,290,
MCS2024,South Africa,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",300,400,,5600,"Zirconium reserves for Australia, China, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",57,140,,5700,"Zirconium reserves for Australia, China, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Zirconium ores and zircon concentrates, mine production, thousand metric tons, gross weight",1440,1600,,74000,
