Entity,Code,Year,production|Bismuth|Mine|tonnes
World,OWID_WRL,1912,722
World,OWID_WRL,1913,922
World,OWID_WRL,1914,1050
World,OWID_WRL,1915,1770
World,OWID_WRL,1916,1670
World,OWID_WRL,1917,907
World,OWID_WRL,1918,992
World,OWID_WRL,1919,833
World,OWID_WRL,1920,817
World,OWID_WRL,1921,274
World,OWID_WRL,1937,700
World,OWID_WRL,1938,1000
World,OWID_WRL,1939,1300
World,OWID_WRL,1940,1400
World,OWID_WRL,1941,1400
World,OWID_WRL,1942,1700
World,OWID_WRL,1943,1400
World,OWID_WRL,1944,1200
World,OWID_WRL,1945,1100
World,OWID_WRL,1946,940
World,OWID_WRL,1947,1500
World,OWID_WRL,1948,1500
World,OWID_WRL,1949,1500
World,OWID_WRL,1950,1400
World,OWID_WRL,1951,1770
World,OWID_WRL,1952,1770
World,OWID_WRL,1953,2090
World,OWID_WRL,1954,1680
World,OWID_WRL,1955,1910
World,OWID_WRL,1956,2400
World,OWID_WRL,1957,2270
World,OWID_WRL,1958,2090
World,OWID_WRL,1959,2270
World,OWID_WRL,1960,2400
World,OWID_WRL,1961,2590
World,OWID_WRL,1962,3040
World,OWID_WRL,1963,2530
World,OWID_WRL,1964,2890
World,OWID_WRL,1965,2960
World,OWID_WRL,1966,3110
World,OWID_WRL,1967,3380
World,OWID_WRL,1968,3770
World,OWID_WRL,1969,3760
World,OWID_WRL,1970,3720
World,OWID_WRL,1971,3830
World,OWID_WRL,1972,4000
World,OWID_WRL,1973,3720
World,OWID_WRL,1974,4820
World,OWID_WRL,1975,3980
World,OWID_WRL,1976,3940
World,OWID_WRL,1977,4480
World,OWID_WRL,1978,4250
World,OWID_WRL,1979,3420
World,OWID_WRL,1980,3610
World,OWID_WRL,1981,3750
World,OWID_WRL,1982,4110
World,OWID_WRL,1983,3980
World,OWID_WRL,1984,3480
World,OWID_WRL,1985,4410
World,OWID_WRL,1986,3660
World,OWID_WRL,1987,3170
World,OWID_WRL,1988,3220
World,OWID_WRL,1989,3650
World,OWID_WRL,1990,3440
World,OWID_WRL,1991,3230
World,OWID_WRL,1992,2870
World,OWID_WRL,1993,3550
World,OWID_WRL,1994,3410
World,OWID_WRL,1995,3430
World,OWID_WRL,1996,3600
World,OWID_WRL,1997,4360
World,OWID_WRL,1998,3930
World,OWID_WRL,1999,4860
World,OWID_WRL,2000,3790
World,OWID_WRL,2001,5100
World,OWID_WRL,2002,4600
World,OWID_WRL,2003,5100
World,OWID_WRL,2004,5600
World,OWID_WRL,2005,5400
World,OWID_WRL,2006,5800
World,OWID_WRL,2007,6400
World,OWID_WRL,2008,7500
World,OWID_WRL,2009,7500
World,OWID_WRL,2010,7700
World,OWID_WRL,2011,8170
World,OWID_WRL,2012,6960
World,OWID_WRL,2013,8480
