Entity,Code,Year,production|Bismuth|Refinery|tonnes
Bolivia,BOL,2021,60
Bolivia,BOL,2022,0
Bolivia,BOL,2023,40
Bulgaria,BGR,2021,50
Bulgaria,BGR,2022,50
Bulgaria,BGR,2023,50
Canada,CAN,2021,50
Canada,CAN,2022,50
China,CHN,2021,16000
China,CHN,2022,15500
China,CHN,2023,16000
Japan,JPN,2021,500
Japan,JPN,2022,490
Japan,JPN,2023,500
Kazakhstan,KAZ,2021,230
Kazakhstan,KAZ,2022,190
Kazakhstan,KAZ,2023,160
Laos,LAO,2021,2070
Laos,LAO,2022,1940
Laos,LAO,2023,2000
Mexico,MEX,2021,10
Mexico,MEX,2022,10
South Korea,KOR,2021,1000
South Korea,KOR,2022,810
South Korea,KOR,2023,850
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
World,OWID_WRL,1984,3187
World,OWID_WRL,1985,4325
World,OWID_WRL,1986,4077
World,OWID_WRL,1987,4078
World,OWID_WRL,1988,4099
World,OWID_WRL,1989,4194
World,OWID_WRL,1990,4190
World,OWID_WRL,1991,3820
World,OWID_WRL,1992,3710
World,OWID_WRL,1993,4390
World,OWID_WRL,1994,4180
World,OWID_WRL,1995,3840
World,OWID_WRL,1996,4180
World,OWID_WRL,1997,4070
World,OWID_WRL,1998,4330
World,OWID_WRL,1999,3570
World,OWID_WRL,2000,4230
World,OWID_WRL,2001,5800
World,OWID_WRL,2002,6700
World,OWID_WRL,2003,8700
World,OWID_WRL,2004,15000
World,OWID_WRL,2005,14000
World,OWID_WRL,2006,15000
World,OWID_WRL,2007,15400
World,OWID_WRL,2008,16000
World,OWID_WRL,2009,14000
World,OWID_WRL,2010,16000
World,OWID_WRL,2011,16700
World,OWID_WRL,2012,16700
World,OWID_WRL,2013,17100
World,OWID_WRL,2014,19000
World,OWID_WRL,2015,19400
World,OWID_WRL,2016,19700
World,OWID_WRL,2017,19800
World,OWID_WRL,2018,20400
World,OWID_WRL,2019,18300
World,OWID_WRL,2020,18400
World,OWID_WRL,2021,20000
World,OWID_WRL,2022,19000
World,OWID_WRL,2023,20000
