Entity,Code,Year,unit value|Bismuth|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,97000
World,OWID_WRL,1901,78000
World,OWID_WRL,1902,62000
World,OWID_WRL,1903,60000
World,OWID_WRL,1904,60000
World,OWID_WRL,1905,51000
World,OWID_WRL,1906,50000
World,OWID_WRL,1907,48000
World,OWID_WRL,1908,70000
World,OWID_WRL,1909,70000
World,OWID_WRL,1910,75000
World,OWID_WRL,1911,82000
World,OWID_WRL,1912,76000
World,OWID_WRL,1913,72700
World,OWID_WRL,1914,104000
World,OWID_WRL,1915,102000
World,OWID_WRL,1916,120000
World,OWID_WRL,1917,96300
World,OWID_WRL,1918,81600
World,OWID_WRL,1919,64000
World,OWID_WRL,1920,45800
World,OWID_WRL,1921,39200
World,OWID_WRL,1922,42400
World,OWID_WRL,1923,52500
World,OWID_WRL,1924,42700
World,OWID_WRL,1925,41100
World,OWID_WRL,1926,61500
World,OWID_WRL,1927,47500
World,OWID_WRL,1928,41700
World,OWID_WRL,1929,35700
World,OWID_WRL,1930,29100
World,OWID_WRL,1931,29600
World,OWID_WRL,1932,22300
World,OWID_WRL,1933,29800
World,OWID_WRL,1934,32200
World,OWID_WRL,1935,27500
World,OWID_WRL,1936,25800
World,OWID_WRL,1937,24900
World,OWID_WRL,1938,26700
World,OWID_WRL,1939,28500
World,OWID_WRL,1940,32100
World,OWID_WRL,1941,30600
World,OWID_WRL,1942,27600
World,OWID_WRL,1943,26000
World,OWID_WRL,1944,25600
World,OWID_WRL,1945,25000
World,OWID_WRL,1946,26500
World,OWID_WRL,1947,31900
World,OWID_WRL,1948,29800
World,OWID_WRL,1949,30200
World,OWID_WRL,1950,30700
World,OWID_WRL,1951,31100
World,OWID_WRL,1952,30500
World,OWID_WRL,1953,30300
World,OWID_WRL,1954,30100
World,OWID_WRL,1955,30200
World,OWID_WRL,1956,29700
World,OWID_WRL,1957,28800
World,OWID_WRL,1958,28000
World,OWID_WRL,1959,27800
World,OWID_WRL,1960,27300
World,OWID_WRL,1961,27000
World,OWID_WRL,1962,26800
World,OWID_WRL,1963,26400
World,OWID_WRL,1964,26700
World,OWID_WRL,1965,39100
World,OWID_WRL,1966,44400
World,OWID_WRL,1967,43000
World,OWID_WRL,1968,41300
World,OWID_WRL,1969,45300
World,OWID_WRL,1970,55500
World,OWID_WRL,1971,46700
World,OWID_WRL,1972,31200
World,OWID_WRL,1973,42600
World,OWID_WRL,1974,67400
World,OWID_WRL,1975,55100
World,OWID_WRL,1976,47300
World,OWID_WRL,1977,35800
World,OWID_WRL,1978,18600
World,OWID_WRL,1979,14900
World,OWID_WRL,1980,11500
World,OWID_WRL,1981,9970
World,OWID_WRL,1982,6000
World,OWID_WRL,1983,6200
World,OWID_WRL,1984,14800
World,OWID_WRL,1985,17300
World,OWID_WRL,1986,10700
World,OWID_WRL,1987,11600
World,OWID_WRL,1988,17500
World,OWID_WRL,1989,16700
World,OWID_WRL,1990,9790
World,OWID_WRL,1991,7910
World,OWID_WRL,1992,6810
World,OWID_WRL,1993,6220
World,OWID_WRL,1994,7890
World,OWID_WRL,1995,9080
World,OWID_WRL,1996,8360
World,OWID_WRL,1997,7840
World,OWID_WRL,1998,7940
World,OWID_WRL,1999,8310
World,OWID_WRL,2000,7720
World,OWID_WRL,2001,7590
World,OWID_WRL,2002,6270
World,OWID_WRL,2003,5610
World,OWID_WRL,2004,6370
World,OWID_WRL,2005,7190
World,OWID_WRL,2006,8980
World,OWID_WRL,2007,24400
World,OWID_WRL,2008,21300
World,OWID_WRL,2009,13100
World,OWID_WRL,2010,14400
World,OWID_WRL,2011,18300
World,OWID_WRL,2012,15800
World,OWID_WRL,2013,13400
World,OWID_WRL,2014,16900
World,OWID_WRL,2015,9770
World,OWID_WRL,2016,6740
World,OWID_WRL,2017,7240
World,OWID_WRL,2018,6600
World,OWID_WRL,2019,4470
World,OWID_WRL,2020,3780
World,OWID_WRL,2021,4960
World,OWID_WRL,2022,4790
