Entity,Code,Year,unit value|Cobalt|Value|constant 1998 US$ per tonne
World,OWID_WRL,1900,97000
World,OWID_WRL,1901,110000
World,OWID_WRL,1902,106000
World,OWID_WRL,1903,110000
World,OWID_WRL,1904,113000
World,OWID_WRL,1905,110000
World,OWID_WRL,1906,108000
World,OWID_WRL,1907,82000
World,OWID_WRL,1908,4300
World,OWID_WRL,1909,53000
World,OWID_WRL,1910,22000
World,OWID_WRL,1911,5200
World,OWID_WRL,1912,5400
World,OWID_WRL,1913,22800
World,OWID_WRL,1914,40300
World,OWID_WRL,1915,51200
World,OWID_WRL,1916,48200
World,OWID_WRL,1917,49500
World,OWID_WRL,1918,42400
World,OWID_WRL,1919,44900
World,OWID_WRL,1920,50100
World,OWID_WRL,1921,58700
World,OWID_WRL,1922,63900
World,OWID_WRL,1923,56700
World,OWID_WRL,1924,55400
World,OWID_WRL,1925,50700
World,OWID_WRL,1926,48400
World,OWID_WRL,1927,48000
World,OWID_WRL,1928,48700
World,OWID_WRL,1929,46800
World,OWID_WRL,1930,48700
World,OWID_WRL,1931,38800
World,OWID_WRL,1932,36000
World,OWID_WRL,1933,32200
World,OWID_WRL,1934,28600
World,OWID_WRL,1935,30100
World,OWID_WRL,1936,32600
World,OWID_WRL,1937,35500
World,OWID_WRL,1938,35000
World,OWID_WRL,1939,36400
World,OWID_WRL,1940,30600
World,OWID_WRL,1941,28800
World,OWID_WRL,1942,22200
World,OWID_WRL,1943,27500
World,OWID_WRL,1944,38900
World,OWID_WRL,1945,33100
World,OWID_WRL,1946,28400
World,OWID_WRL,1947,21400
World,OWID_WRL,1948,20600
World,OWID_WRL,1949,24300
World,OWID_WRL,1950,24800
World,OWID_WRL,1951,27700
World,OWID_WRL,1952,30700
World,OWID_WRL,1953,30800
World,OWID_WRL,1954,33200
World,OWID_WRL,1955,33200
World,OWID_WRL,1956,33400
World,OWID_WRL,1957,25600
World,OWID_WRL,1958,24600
World,OWID_WRL,1959,22000
World,OWID_WRL,1960,18700
World,OWID_WRL,1961,17900
World,OWID_WRL,1962,17300
World,OWID_WRL,1963,16900
World,OWID_WRL,1964,16800
World,OWID_WRL,1965,18000
World,OWID_WRL,1966,17200
World,OWID_WRL,1967,21300
World,OWID_WRL,1968,21100
World,OWID_WRL,1969,18100
World,OWID_WRL,1970,20500
World,OWID_WRL,1971,19400
World,OWID_WRL,1972,20400
World,OWID_WRL,1973,23800
World,OWID_WRL,1974,24900
World,OWID_WRL,1975,28100
World,OWID_WRL,1976,27000
World,OWID_WRL,1977,32100
World,OWID_WRL,1978,54900
World,OWID_WRL,1979,120000
World,OWID_WRL,1980,102000
World,OWID_WRL,1981,66100
World,OWID_WRL,1982,42700
World,OWID_WRL,1983,24300
World,OWID_WRL,1984,29800
World,OWID_WRL,1985,36100
World,OWID_WRL,1986,24100
World,OWID_WRL,1987,21100
World,OWID_WRL,1988,22300
World,OWID_WRL,1989,22700
World,OWID_WRL,1990,22700
World,OWID_WRL,1991,30100
World,OWID_WRL,1992,55100
World,OWID_WRL,1993,35300
World,OWID_WRL,1994,46400
World,OWID_WRL,1995,62400
World,OWID_WRL,1996,58600
World,OWID_WRL,1997,47000
World,OWID_WRL,1998,44200
World,OWID_WRL,1999,33000
World,OWID_WRL,2000,28100
World,OWID_WRL,2001,21500
World,OWID_WRL,2002,15500
World,OWID_WRL,2003,18200
World,OWID_WRL,2004,37400
World,OWID_WRL,2005,28100
World,OWID_WRL,2006,24800
World,OWID_WRL,2007,42900
World,OWID_WRL,2008,51800
World,OWID_WRL,2009,26000
World,OWID_WRL,2010,29700
World,OWID_WRL,2011,26200
World,OWID_WRL,2012,21600
World,OWID_WRL,2013,19500
World,OWID_WRL,2014,21100
World,OWID_WRL,2015,20100
World,OWID_WRL,2016,17300
World,OWID_WRL,2017,32200
World,OWID_WRL,2018,41400
World,OWID_WRL,2019,24100
World,OWID_WRL,2020,21800
World,OWID_WRL,2021,26900
