Entity,Code,Year,production|Copper|Mine|tonnes
Albania,ALB,1970,6000
Albania,ALB,1971,6500
Albania,ALB,1972,6700
Albania,ALB,1973,7000
Albania,ALB,1974,7000
Albania,ALB,1975,9000
Albania,ALB,1976,10000
Albania,ALB,1977,10000
Albania,ALB,1978,11500
Albania,ALB,1979,9700
Albania,ALB,1980,11500
Albania,ALB,1981,11500
Albania,ALB,1982,14000
Albania,ALB,1983,15000
Albania,ALB,1984,14100
Albania,ALB,1985,10300
Albania,ALB,1986,15170
Albania,ALB,1987,16227
Albania,ALB,1988,17269
Albania,ALB,1989,16000
Albania,ALB,1990,12250
Albania,ALB,1991,8000
Albania,ALB,1992,1900
Albania,ALB,1993,3400
Albania,ALB,1994,2500
Albania,ALB,1995,3650
Albania,ALB,1996,2630
Albania,ALB,1997,324
Albania,ALB,1998,2300
Albania,ALB,1999,869
Albania,ALB,2001,0
Albania,ALB,2002,0
Albania,ALB,2003,0
Albania,ALB,2004,642
Albania,ALB,2005,1696
Albania,ALB,2006,1140
Albania,ALB,2007,2384
Albania,ALB,2008,3633
Albania,ALB,2009,2600
Albania,ALB,2010,2672
Albania,ALB,2011,4379
Albania,ALB,2012,5691
Albania,ALB,2013,5087
Albania,ALB,2014,3503
Albania,ALB,2015,2106
Albania,ALB,2016,218
Albania,ALB,2017,0
Albania,ALB,2018,2601
Albania,ALB,2019,3551
Albania,ALB,2020,3070
Albania,ALB,2021,5134
Albania,ALB,2022,5899
Algeria,DZA,1970,574
Algeria,DZA,1971,514
Algeria,DZA,1972,428
Algeria,DZA,1973,353
Algeria,DZA,1974,350
Algeria,DZA,1975,378
Algeria,DZA,1976,400
Algeria,DZA,1977,400
Algeria,DZA,1978,200
Algeria,DZA,1979,200
Algeria,DZA,1980,200
Algeria,DZA,1981,200
Algeria,DZA,1982,200
Algeria,DZA,1983,200
Algeria,DZA,1984,200
Algeria,DZA,1985,200
Algeria,DZA,1986,200
Algeria,DZA,1987,200
Argentina,ARG,1970,461
Argentina,ARG,1971,497
Argentina,ARG,1972,1125
Argentina,ARG,1973,284
Argentina,ARG,1974,315
Argentina,ARG,1975,380
Argentina,ARG,1976,265
Argentina,ARG,1977,169
Argentina,ARG,1978,319
Argentina,ARG,1979,89
Argentina,ARG,1980,182
Argentina,ARG,1981,80
Argentina,ARG,1982,37
Argentina,ARG,1983,318
Argentina,ARG,1984,223
Argentina,ARG,1985,391
Argentina,ARG,1986,317
Argentina,ARG,1987,379
Argentina,ARG,1988,492
Argentina,ARG,1989,653
Argentina,ARG,1990,357
Argentina,ARG,1991,409
Argentina,ARG,1997,30421
Argentina,ARG,1998,170273
Argentina,ARG,1999,210126
Argentina,ARG,2000,145197
Argentina,ARG,2001,191667
Argentina,ARG,2002,204027
Argentina,ARG,2003,199020
Argentina,ARG,2004,177143
Argentina,ARG,2005,187317
Argentina,ARG,2006,180144
Argentina,ARG,2007,180223
Argentina,ARG,2008,156900
Argentina,ARG,2009,143084
Argentina,ARG,2010,140300
Argentina,ARG,2011,116700
Argentina,ARG,2012,135700
Argentina,ARG,2013,109600
Argentina,ARG,2014,102600
Argentina,ARG,2015,61800
Argentina,ARG,2016,81900
Argentina,ARG,2017,33300
Argentina,ARG,2018,17400
