Entity,Code,Year,production|Copper|Refinery|tonnes
Albania,ALB,1977,7000
Albania,ALB,1978,7000
Albania,ALB,1979,7000
Albania,ALB,1980,9000
Albania,ALB,1981,9500
Albania,ALB,1982,9500
Albania,ALB,1983,10000
Albania,ALB,1984,11000
Albania,ALB,1985,12000
Albania,ALB,1986,11000
Albania,ALB,1987,11000
Albania,ALB,1988,13000
Albania,ALB,1989,13000
Albania,ALB,1990,10900
Albania,ALB,1991,4400
Albania,ALB,1992,1200
Argentina,ARG,1983,11500
Argentina,ARG,1984,11200
Argentina,ARG,1985,13000
Argentina,ARG,1986,11000
Argentina,ARG,1987,13000
Argentina,ARG,1988,12500
Argentina,ARG,1989,11000
Argentina,ARG,1990,15000
Argentina,ARG,1991,15000
Argentina,ARG,1992,16000
Argentina,ARG,1993,15000
Argentina,ARG,1994,16000
Argentina,ARG,1995,16000
Argentina,ARG,1996,16000
Argentina,ARG,1997,16000
Argentina,ARG,1998,16000
Argentina,ARG,1999,16000
Argentina,ARG,2000,16000
Argentina,ARG,2001,16000
Argentina,ARG,2002,16000
Argentina,ARG,2003,16000
Argentina,ARG,2004,16000
Argentina,ARG,2005,16000
Argentina,ARG,2006,16000
Argentina,ARG,2007,16000
Argentina,ARG,2008,16000
Argentina,ARG,2009,16000
Argentina,ARG,2010,16000
Argentina,ARG,2011,16000
Argentina,ARG,2012,16000
Argentina,ARG,2013,16000
Argentina,ARG,2014,14000
Argentina,ARG,2015,14000
Argentina,ARG,2016,14000
Argentina,ARG,2017,14000
Argentina,ARG,2018,14000
Argentina,ARG,2019,14000
Argentina,ARG,2020,14000
Argentina,ARG,2021,14000
Argentina,ARG,2022,14000
Australia,AUS,1977,183068
Australia,AUS,1978,178942
Australia,AUS,1979,171959
Australia,AUS,1980,182400
Australia,AUS,1981,191008
Australia,AUS,1982,178138
Australia,AUS,1983,202603
Australia,AUS,1984,197217
Australia,AUS,1985,194339
Australia,AUS,1986,185071
Australia,AUS,1987,207768
Australia,AUS,1988,222707
Australia,AUS,1989,255000
Australia,AUS,1990,274000
Australia,AUS,1991,272000
Australia,AUS,1992,316000
Australia,AUS,1993,334000
Australia,AUS,1994,356000
Australia,AUS,1995,290000
Australia,AUS,1996,335000
Australia,AUS,1997,301000
Australia,AUS,1998,304000
Australia,AUS,1999,437000
Australia,AUS,2000,509000
Australia,AUS,2001,558000
Australia,AUS,2002,542000
Australia,AUS,2003,484000
Australia,AUS,2004,498000
Australia,AUS,2005,468352
Australia,AUS,2006,428940
Australia,AUS,2007,441609
Australia,AUS,2008,502740
Australia,AUS,2009,445479
Australia,AUS,2010,424333
Australia,AUS,2011,476775
Australia,AUS,2012,460390
Australia,AUS,2013,480775
Australia,AUS,2014,511252
Australia,AUS,2015,474963
Australia,AUS,2016,474954
Australia,AUS,2017,386249
Australia,AUS,2018,377036
Australia,AUS,2019,426739
Australia,AUS,2020,427000
Australia,AUS,2021,385000
Australia,AUS,2022,401000
Australia,AUS,2023,450000
Austria,AUT,1976,28589
Austria,AUT,1977,31707
Austria,AUT,1978,31485
Austria,AUT,1979,32812
Austria,AUT,1980,43545
Austria,AUT,1981,39117
Austria,AUT,1982,31600
Austria,AUT,1983,33061
Austria,AUT,1984,33255
Austria,AUT,1985,33626
Austria,AUT,1986,32579
Austria,AUT,1987,32924
Austria,AUT,1988,38378
