Entity,Code,Year,unit value|Fluorspar|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,111
World,OWID_WRL,1901,126
World,OWID_WRL,1902,118
World,OWID_WRL,1903,101
World,OWID_WRL,1904,129
World,OWID_WRL,1905,126
World,OWID_WRL,1906,120
World,OWID_WRL,1907,112
World,OWID_WRL,1908,117
World,OWID_WRL,1909,115
World,OWID_WRL,1910,120
World,OWID_WRL,1911,136
World,OWID_WRL,1912,123
World,OWID_WRL,1913,115
World,OWID_WRL,1914,107
World,OWID_WRL,1915,99
World,OWID_WRL,1916,97
World,OWID_WRL,1917,147
World,OWID_WRL,1918,247
World,OWID_WRL,1919,265
World,OWID_WRL,1920,226
World,OWID_WRL,1921,208
World,OWID_WRL,1922,191
World,OWID_WRL,1923,217
World,OWID_WRL,1924,206
World,OWID_WRL,1925,184
World,OWID_WRL,1926,184
World,OWID_WRL,1927,186
World,OWID_WRL,1928,199
World,OWID_WRL,1929,200
World,OWID_WRL,1930,197
World,OWID_WRL,1931,205
World,OWID_WRL,1932,204
World,OWID_WRL,1933,198
World,OWID_WRL,1934,218
World,OWID_WRL,1935,197
World,OWID_WRL,1936,229
World,OWID_WRL,1937,253
World,OWID_WRL,1938,254
World,OWID_WRL,1939,262
World,OWID_WRL,1940,260
World,OWID_WRL,1941,256
World,OWID_WRL,1942,272
World,OWID_WRL,1943,302
World,OWID_WRL,1944,308
World,OWID_WRL,1945,306
World,OWID_WRL,1946,299
World,OWID_WRL,1947,268
World,OWID_WRL,1948,252
World,OWID_WRL,1949,264
World,OWID_WRL,1950,263
World,OWID_WRL,1951,287
World,OWID_WRL,1952,313
World,OWID_WRL,1953,333
World,OWID_WRL,1954,335
World,OWID_WRL,1955,303
World,OWID_WRL,1956,285
World,OWID_WRL,1957,306
World,OWID_WRL,1958,294
World,OWID_WRL,1959,289
World,OWID_WRL,1960,274
World,OWID_WRL,1961,271
World,OWID_WRL,1962,264
World,OWID_WRL,1963,264
World,OWID_WRL,1964,260
World,OWID_WRL,1965,257
World,OWID_WRL,1966,237
World,OWID_WRL,1967,239
World,OWID_WRL,1968,239
World,OWID_WRL,1969,226
World,OWID_WRL,1970,239
World,OWID_WRL,1971,282
World,OWID_WRL,1972,297
World,OWID_WRL,1973,283
World,OWID_WRL,1974,259
World,OWID_WRL,1975,260
World,OWID_WRL,1976,301
World,OWID_WRL,1977,288
World,OWID_WRL,1978,282
World,OWID_WRL,1979,276
World,OWID_WRL,1980,297
World,OWID_WRL,1981,315
World,OWID_WRL,1982,321
World,OWID_WRL,1983,296
World,OWID_WRL,1984,299
World,OWID_WRL,1985,289
World,OWID_WRL,1986,284
World,OWID_WRL,1987,274
World,OWID_WRL,1988,259
World,OWID_WRL,1989,247
World,OWID_WRL,1990,240
World,OWID_WRL,1991,230
World,OWID_WRL,1992,224
World,OWID_WRL,1993,107
World,OWID_WRL,1994,106
World,OWID_WRL,1995,129
World,OWID_WRL,1996,144
World,OWID_WRL,1997,131
World,OWID_WRL,1998,125
World,OWID_WRL,1999,116
World,OWID_WRL,2000,118.01
World,OWID_WRL,2001,121.66
World,OWID_WRL,2002,113.26
World,OWID_WRL,2003,119.19
World,OWID_WRL,2004,137.19
World,OWID_WRL,2005,162
World,OWID_WRL,2006,164
