Entity,Code,Year,production|Graphite|Mine|tonnes
Austria,AUT,2020,500
Austria,AUT,2021,500
Austria,AUT,2022,500
Austria,AUT,2023,500
Brazil,BRA,2020,63600
Brazil,BRA,2021,82000
Brazil,BRA,2022,72000
Brazil,BRA,2023,73000
Canada,CAN,2020,8000
Canada,CAN,2021,12000
Canada,CAN,2022,13000
Canada,CAN,2023,3500
China,CHN,2020,762000
China,CHN,2021,820000
China,CHN,2022,1210000
China,CHN,2023,1230000
Germany,DEU,2020,300
Germany,DEU,2021,250
Germany,DEU,2022,170
Germany,DEU,2023,150
India,IND,2020,6000
India,IND,2021,7000
India,IND,2022,11000
India,IND,2023,11500
Madagascar,MDG,2020,20900
Madagascar,MDG,2021,70000
Madagascar,MDG,2022,130000
Madagascar,MDG,2023,100000
Mexico,MEX,2020,3300
Mexico,MEX,2021,2100
Mexico,MEX,2022,2000
Mexico,MEX,2023,2000
Mozambique,MOZ,2020,28000
Mozambique,MOZ,2021,72000
Mozambique,MOZ,2022,166000
Mozambique,MOZ,2023,96000
North Korea,PRK,2020,8100
North Korea,PRK,2021,8100
North Korea,PRK,2022,8100
North Korea,PRK,2023,8100
Norway,NOR,2020,12000
Norway,NOR,2021,6290
Norway,NOR,2022,10380
Norway,NOR,2023,7200
Russia,RUS,2020,25000
Russia,RUS,2021,15000
Russia,RUS,2022,16000
Russia,RUS,2023,16000
South Korea,KOR,2021,10500
South Korea,KOR,2022,23800
South Korea,KOR,2023,27000
Sri Lanka,LKA,2020,4000
Sri Lanka,LKA,2021,3000
Sri Lanka,LKA,2022,2600
Sri Lanka,LKA,2023,2200
Tanzania,TZA,2020,0
Tanzania,TZA,2021,0
Tanzania,TZA,2022,6120
Tanzania,TZA,2023,6000
Turkey,TUR,2020,2500
Turkey,TUR,2021,2700
Turkey,TUR,2022,2800
Turkey,TUR,2023,2000
Ukraine,UKR,2020,16000
Ukraine,UKR,2021,10000
Ukraine,UKR,2022,1000
Ukraine,UKR,2023,2000
United States,USA,1900,3050
United States,USA,1901,2530
United States,USA,1902,6090
United States,USA,1903,17100
United States,USA,1904,17900
United States,USA,1905,22700
United States,USA,1906,18000
United States,USA,1907,26600
United States,USA,1908,2350
United States,USA,1909,7480
United States,USA,1910,3810
United States,USA,1911,3280
United States,USA,1912,3480
United States,USA,1913,4330
United States,USA,1914,3930
United States,USA,1941,2490
United States,USA,1942,6460
United States,USA,1943,9020
United States,USA,1944,4910
United States,USA,1945,4430
United States,USA,1946,5060
United States,USA,1947,3980
United States,USA,1948,9030
United States,USA,1949,5540
United States,USA,1950,4630
United States,USA,1951,6470
United States,USA,1952,5090
United States,USA,1953,5700
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
Uzbekistan,UZB,2020,100
Uzbekistan,UZB,2021,110
Uzbekistan,UZB,2022,0
Vietnam,VNM,2020,5000
Vietnam,VNM,2021,5000
Vietnam,VNM,2022,500
Vietnam,VNM,2023,500
World,OWID_WRL,1900,81600
World,OWID_WRL,1901,77100
World,OWID_WRL,1902,81600
World,OWID_WRL,1903,77100
World,OWID_WRL,1904,77100
World,OWID_WRL,1905,90700
World,OWID_WRL,1906,104000
World,OWID_WRL,1907,109000
World,OWID_WRL,1908,95300
World,OWID_WRL,1909,95300
World,OWID_WRL,1910,95300
World,OWID_WRL,1911,109000
World,OWID_WRL,1912,118000
World,OWID_WRL,1913,136000
World,OWID_WRL,1914,104000
World,OWID_WRL,1915,113000
World,OWID_WRL,1916,172000
World,OWID_WRL,1917,209000
World,OWID_WRL,1918,181000
World,OWID_WRL,1919,122000
World,OWID_WRL,1920,118000
World,OWID_WRL,1921,90700
World,OWID_WRL,1922,104000
World,OWID_WRL,1923,95300
World,OWID_WRL,1924,95300
World,OWID_WRL,1925,122000
World,OWID_WRL,1926,136000
World,OWID_WRL,1927,154000
World,OWID_WRL,1928,150000
World,OWID_WRL,1929,150000
World,OWID_WRL,1930,118000
World,OWID_WRL,1931,77100
World,OWID_WRL,1932,72600
World,OWID_WRL,1933,86200
World,OWID_WRL,1934,109000
World,OWID_WRL,1935,145000
World,OWID_WRL,1936,150000
World,OWID_WRL,1937,159000
World,OWID_WRL,1938,177000
World,OWID_WRL,1939,222000
World,OWID_WRL,1940,254000
World,OWID_WRL,1941,231000
World,OWID_WRL,1942,272000
World,OWID_WRL,1943,277000
World,OWID_WRL,1944,263000
World,OWID_WRL,1945,136000
World,OWID_WRL,1946,95300
World,OWID_WRL,1947,122000
World,OWID_WRL,1948,163000
World,OWID_WRL,1949,168000
World,OWID_WRL,1950,159000
World,OWID_WRL,1951,195000
World,OWID_WRL,1952,177000
World,OWID_WRL,1953,168000
World,OWID_WRL,1954,168000
World,OWID_WRL,1955,272000
World,OWID_WRL,1956,263000
World,OWID_WRL,1957,372000
World,OWID_WRL,1958,318000
World,OWID_WRL,1959,372000
World,OWID_WRL,1960,435000
World,OWID_WRL,1961,413000
World,OWID_WRL,1962,535000
World,OWID_WRL,1963,679000
World,OWID_WRL,1964,620000
World,OWID_WRL,1965,607000
World,OWID_WRL,1966,484000
World,OWID_WRL,1967,358000
World,OWID_WRL,1968,437000
World,OWID_WRL,1969,376000
World,OWID_WRL,1970,393000
World,OWID_WRL,1971,394000
World,OWID_WRL,1972,361000
World,OWID_WRL,1973,395000
World,OWID_WRL,1974,497000
World,OWID_WRL,1975,451000
World,OWID_WRL,1976,449000
World,OWID_WRL,1977,493000
World,OWID_WRL,1978,534000
World,OWID_WRL,1979,626000
World,OWID_WRL,1980,597000
World,OWID_WRL,1981,589000
World,OWID_WRL,1982,562000
World,OWID_WRL,1983,604000
World,OWID_WRL,1984,625000
World,OWID_WRL,1985,584000
World,OWID_WRL,1986,625000
World,OWID_WRL,1987,643000
World,OWID_WRL,1988,575000
World,OWID_WRL,1989,1010000
World,OWID_WRL,1990,946000
World,OWID_WRL,1991,771000
