Entity,Code,Year,reserves|Graphite|Mine|tonnes
Brazil,BRA,2022,74000000
Brazil,BRA,2023,74000000
Canada,CAN,2023,5700000
China,CHN,2022,52000000
China,CHN,2023,78000000
India,IND,2022,8000000
India,IND,2023,8600000
Madagascar,MDG,2022,26000000
Madagascar,MDG,2023,24000000
Mexico,MEX,2022,3100000
Mexico,MEX,2023,3100000
Mozambique,MOZ,2022,25000000
Mozambique,MOZ,2023,25000000
North Korea,PRK,2022,2000000
North Korea,PRK,2023,2000000
Norway,NOR,2022,600000
Norway,NOR,2023,600000
Russia,RUS,2022,14000000
Russia,RUS,2023,14000000
South Korea,KOR,2022,1800000
South Korea,KOR,2023,1800000
Sri Lanka,LKA,2022,1500000
Sri Lanka,LKA,2023,1500000
Tanzania,TZA,2022,18000000
Tanzania,TZA,2023,18000000
Turkey,TUR,2022,90000000
Turkey,TUR,2023,6900000
Uzbekistan,UZB,2022,7600000
World,OWID_WRL,2022,330000000
World,OWID_WRL,2023,280000000
