Entity,Code,Year,unit value|Graphite|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,1900
World,OWID_WRL,1901,1200
World,OWID_WRL,1902,1200
World,OWID_WRL,1903,1300
World,OWID_WRL,1904,1300
World,OWID_WRL,1905,1100
World,OWID_WRL,1906,1200
World,OWID_WRL,1907,1500
World,OWID_WRL,1908,1300
World,OWID_WRL,1909,1700
World,OWID_WRL,1910,1400
World,OWID_WRL,1911,1400
World,OWID_WRL,1912,1200
World,OWID_WRL,1913,1320
World,OWID_WRL,1914,1140
World,OWID_WRL,1915,1720
World,OWID_WRL,1916,2790
World,OWID_WRL,1917,2950
World,OWID_WRL,1918,1890
World,OWID_WRL,1919,1160
World,OWID_WRL,1920,728
World,OWID_WRL,1921,555
World,OWID_WRL,1922,406
World,OWID_WRL,1923,333
World,OWID_WRL,1924,256
World,OWID_WRL,1925,477
World,OWID_WRL,1926,579
World,OWID_WRL,1927,429
World,OWID_WRL,1928,479
World,OWID_WRL,1929,465
World,OWID_WRL,1930,402
World,OWID_WRL,1931,371
World,OWID_WRL,1932,312
World,OWID_WRL,1933,399
World,OWID_WRL,1934,485
World,OWID_WRL,1935,419
World,OWID_WRL,1936,326
World,OWID_WRL,1937,327
World,OWID_WRL,1938,288
World,OWID_WRL,1939,256
World,OWID_WRL,1940,368
World,OWID_WRL,1941,600
World,OWID_WRL,1942,630
World,OWID_WRL,1943,335
World,OWID_WRL,1944,498
World,OWID_WRL,1945,393
World,OWID_WRL,1946,369
World,OWID_WRL,1947,279
World,OWID_WRL,1948,293
World,OWID_WRL,1949,299
World,OWID_WRL,1950,357
World,OWID_WRL,1951,383
World,OWID_WRL,1952,456
World,OWID_WRL,1953,370
World,OWID_WRL,1954,375
World,OWID_WRL,1955,330
World,OWID_WRL,1956,359
World,OWID_WRL,1957,324
World,OWID_WRL,1958,276
World,OWID_WRL,1959,254
World,OWID_WRL,1960,221
World,OWID_WRL,1961,270
World,OWID_WRL,1962,304
World,OWID_WRL,1963,226
World,OWID_WRL,1964,239
World,OWID_WRL,1965,234
World,OWID_WRL,1966,249
World,OWID_WRL,1967,224
World,OWID_WRL,1968,190
World,OWID_WRL,1969,202.9
World,OWID_WRL,1970,211.2
World,OWID_WRL,1971,210.7
World,OWID_WRL,1972,236.8
World,OWID_WRL,1973,217.1
World,OWID_WRL,1974,242.7
World,OWID_WRL,1975,281.1
World,OWID_WRL,1976,261.4
World,OWID_WRL,1977,270.6
World,OWID_WRL,1978,322.2
World,OWID_WRL,1979,379
World,OWID_WRL,1980,582.6
World,OWID_WRL,1981,574.6
World,OWID_WRL,1982,549.1
World,OWID_WRL,1983,493.4
World,OWID_WRL,1984,433.1
World,OWID_WRL,1985,512.8
World,OWID_WRL,1986,603.6
World,OWID_WRL,1987,584.4
World,OWID_WRL,1988,594.5
World,OWID_WRL,1989,711.3
World,OWID_WRL,1990,874.7
World,OWID_WRL,1991,775.2
World,OWID_WRL,1992,596.1
World,OWID_WRL,1993,646.4
World,OWID_WRL,1994,557.1
World,OWID_WRL,1995,530.4
World,OWID_WRL,1996,556.6
World,OWID_WRL,1997,566.4
World,OWID_WRL,1998,564.9
World,OWID_WRL,1999,608.5
World,OWID_WRL,2000,506
World,OWID_WRL,2001,411.6
World,OWID_WRL,2002,448
World,OWID_WRL,2003,413
World,OWID_WRL,2004,405
World,OWID_WRL,2005,448
World,OWID_WRL,2006,447
World,OWID_WRL,2007,500
World,OWID_WRL,2008,625.33124
World,OWID_WRL,2009,681.5074
World,OWID_WRL,2010,595.7542
World,OWID_WRL,2011,820.28986
World,OWID_WRL,2012,859
World,OWID_WRL,2013,805
World,OWID_WRL,2014,716
World,OWID_WRL,2015,860
World,OWID_WRL,2016,830
World,OWID_WRL,2017,750
World,OWID_WRL,2018,593
World,OWID_WRL,2019,714
World,OWID_WRL,2020,780
World,OWID_WRL,2021,806
World,OWID_WRL,2022,1160
