Entity,Code,Year,"production|Platinum group metals|Mine, iridium|tonnes"
Canada,CAN,2018,0.286
Canada,CAN,2019,0
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,0
Russia,RUS,2018,0.2
Russia,RUS,2019,0.2
Russia,RUS,2020,0.2
Russia,RUS,2021,0.2
Russia,RUS,2022,0.2
South Africa,ZAF,2018,6.357
South Africa,ZAF,2019,6.464
South Africa,ZAF,2020,6.186
South Africa,ZAF,2021,7.006
South Africa,ZAF,2022,6.1
United States,USA,1970,0.039
United States,USA,1971,0.015
United States,USA,1972,0.018
United States,USA,1973,0.03
United States,USA,1974,0.012
United States,USA,1975,0.007
United States,USA,1976,0.008
Zimbabwe,ZWE,2018,0.586
Zimbabwe,ZWE,2019,0.845
Zimbabwe,ZWE,2020,0.837
Zimbabwe,ZWE,2021,0.612
Zimbabwe,ZWE,2022,0.602
