Entity,Code,Year,"production|Iron|Smelter, pig iron|tonnes"
Brazil,BRA,2020,25000000
Brazil,BRA,2021,28000000
Brazil,BRA,2022,27000000
Brazil,BRA,2023,26000000
Canada,CAN,2022,6000000
Canada,CAN,2023,6000000
China,CHN,2020,888000000
China,CHN,2021,869000000
China,CHN,2022,866000000
China,CHN,2023,890000000
Germany,DEU,2020,22000000
Germany,DEU,2021,26000000
Germany,DEU,2022,24000000
Germany,DEU,2023,22000000
India,IND,2020,68000000
India,IND,2021,78000000
India,IND,2022,80000000
India,IND,2023,87000000
Iran,IRN,2020,3000000
Iran,IRN,2021,3000000
Iran,IRN,2022,3000000
Iran,IRN,2023,2000000
Italy,ITA,2020,3000000
Italy,ITA,2021,4000000
Italy,ITA,2022,3000000
Italy,ITA,2023,3000000
Japan,JPN,2020,62000000
Japan,JPN,2021,70000000
Japan,JPN,2022,64000000
Japan,JPN,2023,63000000
Mexico,MEX,2020,2000000
Mexico,MEX,2021,3000000
Mexico,MEX,2022,2000000
Mexico,MEX,2023,2000000
Other,,2020,71000000
Other,,2021,81000000
Other,,2022,67000000
Other,,2023,63000000
Russia,RUS,2020,52000000
Russia,RUS,2021,54000000
Russia,RUS,2022,52000000
Russia,RUS,2023,54000000
South Korea,KOR,2020,45000000
South Korea,KOR,2021,46000000
South Korea,KOR,2022,42000000
South Korea,KOR,2023,44000000
Taiwan,TWN,2020,13000000
Taiwan,TWN,2021,15000000
Taiwan,TWN,2022,13000000
Taiwan,TWN,2023,14000000
Turkey,TUR,2020,10000000
Turkey,TUR,2021,10000000
Turkey,TUR,2022,9000000
Turkey,TUR,2023,11000000
Ukraine,UKR,2020,20000000
Ukraine,UKR,2021,21000000
Ukraine,UKR,2022,6000000
Ukraine,UKR,2023,7000000
United States,USA,2020,18000000
United States,USA,2021,22000000
United States,USA,2022,20000000
United States,USA,2023,21000000
Vietnam,VNM,2020,10000000
Vietnam,VNM,2021,15000000
Vietnam,VNM,2022,12000000
Vietnam,VNM,2023,13000000
World,OWID_WRL,1910,66500000
World,OWID_WRL,1911,64400000
World,OWID_WRL,1912,73700000
World,OWID_WRL,1913,79000000
World,OWID_WRL,1914,56300000
World,OWID_WRL,1915,50500000
World,OWID_WRL,1916,74300000
World,OWID_WRL,1917,71900000
World,OWID_WRL,1918,65200000
World,OWID_WRL,1919,50900000
World,OWID_WRL,1920,61300000
World,OWID_WRL,1921,36700000
World,OWID_WRL,1922,70000000
World,OWID_WRL,1923,68500000
World,OWID_WRL,1924,76900000
World,OWID_WRL,1925,76900000
World,OWID_WRL,1926,78900000
World,OWID_WRL,1927,86800000
World,OWID_WRL,1928,88900000
World,OWID_WRL,1929,98500000
