Entity,Code,Year,"unit value|Iron|Smelter, pig iron|constant 1998 US$ per tonne"
World,OWID_WRL,1900,410
World,OWID_WRL,1901,330
World,OWID_WRL,1902,440
World,OWID_WRL,1903,380
World,OWID_WRL,1904,280
World,OWID_WRL,1905,330
World,OWID_WRL,1906,400
World,OWID_WRL,1907,400
World,OWID_WRL,1908,320
World,OWID_WRL,1909,330
World,OWID_WRL,1910,300
World,OWID_WRL,1911,270
World,OWID_WRL,1912,260
World,OWID_WRL,1913,274
World,OWID_WRL,1914,241
World,OWID_WRL,1915,235
World,OWID_WRL,1916,280
World,OWID_WRL,1917,383
World,OWID_WRL,1918,368
World,OWID_WRL,1919,268
World,OWID_WRL,1920,286
World,OWID_WRL,1921,243
World,OWID_WRL,1922,235
World,OWID_WRL,1923,259
World,OWID_WRL,1924,225
World,OWID_WRL,1925,207
World,OWID_WRL,1926,199
World,OWID_WRL,1927,191
World,OWID_WRL,1928,181
World,OWID_WRL,1929,185
World,OWID_WRL,1930,185
World,OWID_WRL,1931,189
World,OWID_WRL,1932,194
World,OWID_WRL,1933,205
World,OWID_WRL,1934,224
World,OWID_WRL,1935,222
World,OWID_WRL,1936,203
World,OWID_WRL,1937,231
World,OWID_WRL,1938,223
World,OWID_WRL,1939,225
World,OWID_WRL,1940,230
World,OWID_WRL,1941,246
World,OWID_WRL,1942,229
World,OWID_WRL,1943,218
World,OWID_WRL,1944,214
World,OWID_WRL,1945,221
World,OWID_WRL,1946,225
World,OWID_WRL,1947,244
World,OWID_WRL,1948,277
World,OWID_WRL,1949,317
World,OWID_WRL,1950,319
World,OWID_WRL,1951,322
World,OWID_WRL,1952,327
World,OWID_WRL,1953,335
World,OWID_WRL,1954,334
World,OWID_WRL,1955,341
World,OWID_WRL,1956,354
World,OWID_WRL,1957,374
World,OWID_WRL,1958,371
World,OWID_WRL,1959,365
World,OWID_WRL,1960,361
World,OWID_WRL,1961,352
World,OWID_WRL,1962,346
World,OWID_WRL,1963,343
World,OWID_WRL,1964,338
World,OWID_WRL,1965,326
World,OWID_WRL,1966,312
World,OWID_WRL,1967,303
World,OWID_WRL,1968,292
World,OWID_WRL,1969,318
World,OWID_WRL,1970,301
World,OWID_WRL,1971,312
World,OWID_WRL,1972,333
World,OWID_WRL,1973,301
World,OWID_WRL,1974,471
World,OWID_WRL,1975,574
World,OWID_WRL,1976,566
World,OWID_WRL,1977,534
World,OWID_WRL,1978,512
World,OWID_WRL,1979,476
World,OWID_WRL,1980,429
World,OWID_WRL,1981,408
World,OWID_WRL,1982,388
World,OWID_WRL,1983,370
World,OWID_WRL,1984,338
World,OWID_WRL,1985,338
World,OWID_WRL,1986,307
World,OWID_WRL,1987,300
World,OWID_WRL,1988,324
