Entity,Code,Year,"production|Iron ore|Mine, crude ore|tonnes"
Australia,AUS,2020,912000000
Australia,AUS,2021,912000000
Australia,AUS,2022,944000000
Australia,AUS,2023,960000000
Brazil,BRA,2020,388000000
Brazil,BRA,2021,431000000
Brazil,BRA,2022,435000000
Brazil,BRA,2023,440000000
Canada,CAN,2020,60100000
Canada,CAN,2021,57500000
Canada,CAN,2022,69000000
Canada,CAN,2023,70000000
Chile,CHL,2020,15600000
Chile,CHL,2021,17700000
Chile,CHL,2022,17700000
Chile,CHL,2023,18000000
China,CHN,2020,360000000
China,CHN,2021,394000000
China,CHN,2022,272000000
China,CHN,2023,280000000
India,IND,2020,204000000
India,IND,2021,273000000
India,IND,2022,251000000
India,IND,2023,270000000
Iran,IRN,2020,49500000
Iran,IRN,2021,72900000
Iran,IRN,2022,78300000
Iran,IRN,2023,77000000
Kazakhstan,KAZ,2020,62900000
Kazakhstan,KAZ,2021,64100000
Kazakhstan,KAZ,2022,53600000
Kazakhstan,KAZ,2023,53000000
Mauritania,MRT,2021,12800000
Mauritania,MRT,2022,12700000
Mauritania,MRT,2023,13000000
Mexico,MEX,2020,14900000
Mexico,MEX,2021,10800000
Mexico,MEX,2022,10800000
Mexico,MEX,2023,12000000
Other,,2020,69500000
Other,,2021,56700000
Other,,2022,57200000
Other,,2023,48000000
Peru,PER,2020,13300000
Peru,PER,2021,18100000
Peru,PER,2022,19300000
Peru,PER,2023,19000000
Russia,RUS,2020,100000000
Russia,RUS,2021,96000000
Russia,RUS,2022,84200000
Russia,RUS,2023,88000000
South Africa,ZAF,2020,55600000
South Africa,ZAF,2021,73100000
South Africa,ZAF,2022,63700000
South Africa,ZAF,2023,61000000
Sweden,SWE,2020,35800000
Sweden,SWE,2021,40200000
Sweden,SWE,2022,38900000
Sweden,SWE,2023,38000000
Turkey,TUR,2020,15400000
Turkey,TUR,2021,16100000
Turkey,TUR,2022,17700000
Turkey,TUR,2023,17000000
Ukraine,UKR,2020,78800000
Ukraine,UKR,2021,83800000
Ukraine,UKR,2022,34100000
Ukraine,UKR,2023,36000000
United States,USA,1900,28000000
United States,USA,1901,29400000
United States,USA,1902,36100000
United States,USA,1903,35600000
United States,USA,1904,28100000
United States,USA,1905,43200000
United States,USA,1906,48500000
United States,USA,1907,52600000
United States,USA,1908,36600000
United States,USA,1909,52000000
United States,USA,1910,57800000
United States,USA,1911,44600000
United States,USA,1912,56100000
United States,USA,1913,63000000
United States,USA,1914,42100000
United States,USA,1915,56400000
United States,USA,1916,76400000
United States,USA,1917,76500000
United States,USA,1918,70800000
United States,USA,1919,61900000
United States,USA,1920,68700000
United States,USA,1921,30000000
United States,USA,1922,47900000
United States,USA,1923,70500000
United States,USA,1924,55100000
United States,USA,1925,62900000
United States,USA,1926,68700000
United States,USA,1927,60200000
United States,USA,1928,63200000
United States,USA,1929,74200000
United States,USA,1930,59300000
United States,USA,1931,31600000
United States,USA,1932,9640000
United States,USA,1933,17800000
United States,USA,1934,25000000
United States,USA,1935,31000000
United States,USA,1936,49600000
United States,USA,1937,73300000
United States,USA,1938,28900000
United States,USA,1939,52600000
United States,USA,1940,74900000
United States,USA,1941,93900000
United States,USA,1942,107000000
United States,USA,1943,103000000
United States,USA,1944,95600000
United States,USA,1945,89800000
United States,USA,1946,72000000
United States,USA,1947,94600000
United States,USA,1948,103000000
United States,USA,1949,86300000
United States,USA,1950,99600000
United States,USA,1951,118000000
United States,USA,1952,99500000
United States,USA,1953,120000000
United States,USA,1954,79400000
United States,USA,1955,105000000
United States,USA,1956,99400000
United States,USA,1957,108000000
United States,USA,1958,68800000
United States,USA,1959,61200000
United States,USA,1960,90200000
United States,USA,1961,72500000
United States,USA,1962,73000000
United States,USA,1963,74800000
United States,USA,1964,86200000
United States,USA,1965,88800000
United States,USA,1966,91600000
United States,USA,1967,85500000
United States,USA,1968,87200000
United States,USA,1969,89700000
United States,USA,1970,91200000
United States,USA,1971,82100000
United States,USA,1972,76600000
United States,USA,1973,89100000
United States,USA,1974,85700000
United States,USA,1975,80100000
United States,USA,1976,81300000
United States,USA,1977,56600000
United States,USA,1978,82900000
United States,USA,1979,87100000
United States,USA,1980,70700000
United States,USA,1981,74300000
United States,USA,1982,36000000
United States,USA,1983,38200000
United States,USA,1984,52100000
United States,USA,1985,49500000
United States,USA,1986,39500000
United States,USA,1987,47600000
United States,USA,1988,57500000
United States,USA,1989,59000000
United States,USA,1990,56400000
United States,USA,1991,56800000
United States,USA,1992,55600000
United States,USA,1993,55700000
United States,USA,1994,58500000
United States,USA,1995,62600000
United States,USA,1996,62100000
United States,USA,1997,63000000
United States,USA,1998,62900000
United States,USA,1999,57700000
United States,USA,2000,63100000
United States,USA,2001,46200000
United States,USA,2002,51600000
United States,USA,2003,48600000
United States,USA,2004,54700000
United States,USA,2005,54300000
United States,USA,2006,52700000
United States,USA,2007,52500000
United States,USA,2008,53600000
United States,USA,2009,26700000
United States,USA,2010,49900000
United States,USA,2011,56200000
United States,USA,2012,54700000
United States,USA,2013,52800000
United States,USA,2014,56100000
United States,USA,2015,46100000
United States,USA,2016,41800000
United States,USA,2017,47900000
United States,USA,2018,49500000
United States,USA,2019,46900000
United States,USA,2020,38100000
United States,USA,2021,47500000
United States,USA,2022,39000000
United States,USA,2023,44000000
World,OWID_WRL,1904,95500000
World,OWID_WRL,1905,116000000
World,OWID_WRL,1906,100000000
World,OWID_WRL,1907,135000000
World,OWID_WRL,1908,109000000
World,OWID_WRL,1909,126000000
World,OWID_WRL,1910,142000000
World,OWID_WRL,1911,133000000
World,OWID_WRL,1912,151000000
World,OWID_WRL,1913,177000000
World,OWID_WRL,1914,118000000
World,OWID_WRL,1915,116000000
World,OWID_WRL,1916,139000000
World,OWID_WRL,1917,142000000
World,OWID_WRL,1918,127000000
World,OWID_WRL,1919,110000000
World,OWID_WRL,1920,124000000
World,OWID_WRL,1921,73000000
World,OWID_WRL,1922,104000000
World,OWID_WRL,1923,136000000
World,OWID_WRL,1924,130000000
World,OWID_WRL,1925,151000000
World,OWID_WRL,1926,155000000
World,OWID_WRL,1927,171000000
World,OWID_WRL,1928,174000000
World,OWID_WRL,1929,201000000
World,OWID_WRL,1930,179000000
World,OWID_WRL,1931,119000000
World,OWID_WRL,1932,76200000
World,OWID_WRL,1933,91200000
World,OWID_WRL,1934,120000000
World,OWID_WRL,1935,138000000
World,OWID_WRL,1936,170000000
World,OWID_WRL,1937,212000000
World,OWID_WRL,1938,162000000
World,OWID_WRL,1939,200000000
World,OWID_WRL,1940,212000000
World,OWID_WRL,1941,233000000
World,OWID_WRL,1942,235000000
World,OWID_WRL,1943,227000000
World,OWID_WRL,1944,199000000
World,OWID_WRL,1945,159000000
World,OWID_WRL,1946,154000000
World,OWID_WRL,1947,184000000
World,OWID_WRL,1948,211000000
World,OWID_WRL,1949,223000000
World,OWID_WRL,1950,250000000
World,OWID_WRL,1951,294000000
World,OWID_WRL,1952,298000000
World,OWID_WRL,1953,331000000
World,OWID_WRL,1954,301000000
World,OWID_WRL,1955,364000000
World,OWID_WRL,1956,389000000
World,OWID_WRL,1957,423000000
World,OWID_WRL,1958,397000000
World,OWID_WRL,1959,432000000
World,OWID_WRL,1960,514000000
World,OWID_WRL,1961,495000000
World,OWID_WRL,1962,499000000
World,OWID_WRL,1963,510000000
World,OWID_WRL,1964,573000000
World,OWID_WRL,1965,611000000
World,OWID_WRL,1966,626000000
World,OWID_WRL,1967,616000000
World,OWID_WRL,1968,668000000
World,OWID_WRL,1969,701000000
World,OWID_WRL,1970,757000000
World,OWID_WRL,1971,767000000
World,OWID_WRL,1972,757000000
World,OWID_WRL,1973,832000000
World,OWID_WRL,1974,881000000
World,OWID_WRL,1975,888000000
World,OWID_WRL,1976,886000000
World,OWID_WRL,1977,844000000
World,OWID_WRL,1978,833000000
World,OWID_WRL,1979,898000000
World,OWID_WRL,1980,884000000
World,OWID_WRL,1981,843000000
World,OWID_WRL,1982,783000000
World,OWID_WRL,1983,728000000
World,OWID_WRL,1984,823000000
World,OWID_WRL,1985,845000000
World,OWID_WRL,1986,855000000
World,OWID_WRL,1987,869000000
World,OWID_WRL,1988,967000000
World,OWID_WRL,1989,999000000
World,OWID_WRL,1990,982000000
World,OWID_WRL,1991,956000000
World,OWID_WRL,1992,930000000
World,OWID_WRL,1993,953000000
World,OWID_WRL,1994,982000000
World,OWID_WRL,1995,1020000000
World,OWID_WRL,1996,1020000000
World,OWID_WRL,1997,1040000000
World,OWID_WRL,1998,1050000000
World,OWID_WRL,1999,1020000000
World,OWID_WRL,2000,969000000
World,OWID_WRL,2001,937000000
World,OWID_WRL,2002,982000000
World,OWID_WRL,2003,1080000000
World,OWID_WRL,2004,1200000000
World,OWID_WRL,2005,1320000000
World,OWID_WRL,2006,1470000000
World,OWID_WRL,2007,1680000000
World,OWID_WRL,2008,1730000000
World,OWID_WRL,2009,1710000000
World,OWID_WRL,2010,1870000000
World,OWID_WRL,2011,2030000000
World,OWID_WRL,2012,2070000000
World,OWID_WRL,2013,2230000128
World,OWID_WRL,2014,2369999872
World,OWID_WRL,2015,2369999872
World,OWID_WRL,2016,2369999872
World,OWID_WRL,2017,2440000000
World,OWID_WRL,2018,2460000000
World,OWID_WRL,2019,2449999872
World,OWID_WRL,2020,2470000000
World,OWID_WRL,2021,2680000000
World,OWID_WRL,2022,2500000000
World,OWID_WRL,2023,2500000000
