Entity,Code,Year,"reserves|Iron ore|Mine, crude ore|tonnes"
Australia,AUS,2022,51000000000
Australia,AUS,2023,58000000000
Brazil,BRA,2022,34000000000
Brazil,BRA,2023,34000000000
Canada,CAN,2022,6000000000
Canada,CAN,2023,6000000000
China,CHN,2022,20000000000
China,CHN,2023,20000000000
India,IND,2022,5500000000
India,IND,2023,5500000000
Iran,IRN,2022,2700000000
Iran,IRN,2023,3300000000
Kazakhstan,KAZ,2022,2500000000
Kazakhstan,KAZ,2023,2500000000
Other,,2022,18000000000
Other,,2023,18000000000
Peru,PER,2022,2600000000
Peru,PER,2023,2600000000
Russia,RUS,2022,29000000000
Russia,RUS,2023,29000000000
South Africa,ZAF,2022,1000000000
South Africa,ZAF,2023,990000000
Sweden,SWE,2022,1300000000
Sweden,SWE,2023,1300000000
Turkey,TUR,2022,130000000
Turkey,TUR,2023,152000000
Ukraine,UKR,2022,6500000000
Ukraine,UKR,2023,6500000000
United States,USA,2022,3000000000
United States,USA,2023,3100000000
World,OWID_WRL,2022,180000000000
World,OWID_WRL,2023,190000000000
