Entity,Code,Year,reserves|Lithium|Mine|tonnes
Argentina,ARG,2022,2700000
Argentina,ARG,2023,3600000
Australia,AUS,2022,6200000
Australia,AUS,2023,6200000
Brazil,BRA,2022,250000
Brazil,BRA,2023,390000
Canada,CAN,2022,930000
Canada,CAN,2023,930000
Chile,CHL,2022,9300000
Chile,CHL,2023,9300000
China,CHN,2022,2000000
China,CHN,2023,3000000
Other,,2022,3300000
Other,,2023,2800000
Portugal,PRT,2022,60000
Portugal,PRT,2023,60000
United States,USA,2022,1000000
United States,USA,2023,1100000
World,OWID_WRL,2023,28000000
Zimbabwe,ZWE,2022,310000
Zimbabwe,ZWE,2023,310000
