Entity,Code,Year,production|Magnesium compounds|Mine|tonnes
Australia,AUS,2020,700000
Australia,AUS,2021,2700000
Australia,AUS,2022,860000
Australia,AUS,2023,860000
Austria,AUT,2020,790000
Austria,AUT,2021,800000
Austria,AUT,2022,810000
Austria,AUT,2023,810000
Brazil,BRA,2020,1800000
Brazil,BRA,2021,1600000
Brazil,BRA,2022,1700000
Brazil,BRA,2023,1700000
Canada,CAN,2021,190000
Canada,CAN,2022,150000
Canada,CAN,2023,150000
China,CHN,2020,19000000
China,CHN,2021,18000000
China,CHN,2022,13000000
China,CHN,2023,13000000
Greece,GRC,2020,500000
Greece,GRC,2021,540000
Greece,GRC,2022,380000
Greece,GRC,2023,380000
India,IND,2021,99000
India,IND,2022,100000
India,IND,2023,100000
Iran,IRN,2021,200000
Iran,IRN,2022,270000
Iran,IRN,2023,270000
Other,,2020,920000
Other,,2021,400000
Other,,2022,323000
Other,,2023,320000
Russia,RUS,2020,1000000
Russia,RUS,2021,1000000
Russia,RUS,2022,960000
Russia,RUS,2023,960000
Saudi Arabia,SAU,2022,340000
Saudi Arabia,SAU,2023,340000
Slovakia,SVK,2020,480000
Slovakia,SVK,2021,500000
Slovakia,SVK,2022,512000
Slovakia,SVK,2023,510000
Spain,ESP,2020,650000
Spain,ESP,2021,650000
Spain,ESP,2022,670000
Spain,ESP,2023,670000
Turkey,TUR,2020,1470000
Turkey,TUR,2021,1900000
Turkey,TUR,2022,1820000
Turkey,TUR,2023,1800000
United States,USA,1900,977
United States,USA,1901,1520
United States,USA,1902,1230
United States,USA,1903,1620
United States,USA,1904,1240
United States,USA,1905,1710
United States,USA,1906,3390
United States,USA,1907,3280
United States,USA,1908,2860
United States,USA,1909,4110
United States,USA,1910,5390
United States,USA,1911,4070
United States,USA,1912,4560
United States,USA,1913,4180
United States,USA,1914,4900
United States,USA,1915,13200
United States,USA,1916,67200
United States,USA,1917,137000
United States,USA,1918,100000
United States,USA,1919,67800
United States,USA,1920,132000
United States,USA,1921,20800
United States,USA,1922,21900
United States,USA,1923,67200
United States,USA,1924,52500
United States,USA,1925,49800
United States,USA,1926,61300
United States,USA,1927,49100
United States,USA,1928,53100
United States,USA,1929,81700
United States,USA,1930,52700
United States,USA,1931,31000
United States,USA,1932,16500
United States,USA,1933,47000
United States,USA,1934,47800
United States,USA,1935,77400
United States,USA,1936,88900
United States,USA,1937,84600
United States,USA,1938,41900
United States,USA,1939,87300
United States,USA,1940,142000
United States,USA,1941,210000
United States,USA,1942,357000
United States,USA,1943,593000
United States,USA,1944,502000
United States,USA,1945,298000
United States,USA,1946,284000
United States,USA,1947,335000
United States,USA,1948,356000
United States,USA,1949,281000
United States,USA,1950,366000
United States,USA,1951,464000
United States,USA,1952,404000
United States,USA,1953,422000
United States,USA,1954,340000
United States,USA,1955,494000
United States,USA,1956,532000
United States,USA,1957,671000
United States,USA,1958,1210000
United States,USA,1959,1480000
United States,USA,1960,1450000
United States,USA,1961,1590000
United States,USA,1962,1500000
United States,USA,1963,1660000
United States,USA,1964,1770000
United States,USA,1965,1840000
United States,USA,1966,1860000
United States,USA,1967,1580000
United States,USA,1968,1560000
United States,USA,1969,1670000
United States,USA,1970,1550000
United States,USA,1971,1320000
United States,USA,1972,1430000
United States,USA,1973,1440000
United States,USA,1974,1430000
United States,USA,1975,1310000
United States,USA,1976,1390000
United States,USA,1977,1390000
United States,USA,1978,1440000
United States,USA,1979,1510000
United States,USA,1980,1210000
United States,USA,1981,1140000
United States,USA,1982,849000
United States,USA,1983,940000
United States,USA,1984,952000
United States,USA,1985,697000
United States,USA,1986,683000
United States,USA,1987,769000
United States,USA,1988,950000
United States,USA,1989,851000
United States,USA,1990,828000
United States,USA,1991,733000
United States,USA,1992,693000
United States,USA,1993,640000
United States,USA,1994,572000
United States,USA,1995,597000
United States,USA,1996,645000
United States,USA,1997,667000
United States,USA,1998,609000
United States,USA,1999,655000
United States,USA,2000,614000
United States,USA,2001,643000
United States,USA,2002,517000
United States,USA,2003,546000
United States,USA,2004,484000
United States,USA,2005,499000
United States,USA,2006,468000
United States,USA,2007,567000
United States,USA,2008,454000
United States,USA,2009,396000
United States,USA,2010,434000
United States,USA,2011,403000
United States,USA,2012,365000
United States,USA,2013,386000
United States,USA,2014,395000
United States,USA,2015,394000
United States,USA,2016,408000
United States,USA,2017,438000
United States,USA,2018,405000
United States,USA,2019,376000
United States,USA,2020,363000
United States,USA,2021,432000
United States,USA,2022,412000
World,OWID_WRL,1913,556000
World,OWID_WRL,1914,434000
World,OWID_WRL,1915,307000
World,OWID_WRL,1916,599000
World,OWID_WRL,1917,753000
World,OWID_WRL,1918,364000
World,OWID_WRL,1919,284000
World,OWID_WRL,1920,576000
World,OWID_WRL,1921,384000
World,OWID_WRL,1922,536000
World,OWID_WRL,1923,514000
World,OWID_WRL,1924,491000
World,OWID_WRL,1925,716000
World,OWID_WRL,1926,716000
World,OWID_WRL,1927,833000
World,OWID_WRL,1928,827000
World,OWID_WRL,1929,1060000
World,OWID_WRL,1930,834000
World,OWID_WRL,1931,691000
World,OWID_WRL,1932,697000
World,OWID_WRL,1933,883000
World,OWID_WRL,1934,1160000
World,OWID_WRL,1935,1440000
World,OWID_WRL,1936,1590000
World,OWID_WRL,1937,2000000
World,OWID_WRL,1938,1700000
World,OWID_WRL,1939,2000000
World,OWID_WRL,1940,2000000
World,OWID_WRL,1941,2000000
World,OWID_WRL,1942,2300000
World,OWID_WRL,1943,2400000
World,OWID_WRL,1944,2000000
World,OWID_WRL,1945,1200000
World,OWID_WRL,1946,1200000
World,OWID_WRL,1947,1600000
World,OWID_WRL,1948,2400000
World,OWID_WRL,1949,2700000
World,OWID_WRL,1950,1330000
World,OWID_WRL,1951,1650000
World,OWID_WRL,1952,1520000
World,OWID_WRL,1953,1780000
World,OWID_WRL,1954,1650000
World,OWID_WRL,1955,1930000
World,OWID_WRL,1956,2360000
World,OWID_WRL,1957,2470000
World,OWID_WRL,1958,2330000
World,OWID_WRL,1959,3740000
World,OWID_WRL,1960,6820000
World,OWID_WRL,1961,7250000
World,OWID_WRL,1962,7440000
World,OWID_WRL,1963,8980000
World,OWID_WRL,1964,9540000
World,OWID_WRL,1965,10000000
World,OWID_WRL,1966,10100000
World,OWID_WRL,1967,10200000
World,OWID_WRL,1968,10700000
World,OWID_WRL,1969,9630000
World,OWID_WRL,1970,8720000
World,OWID_WRL,1971,8970000
World,OWID_WRL,1972,8830000
World,OWID_WRL,1973,9070000
World,OWID_WRL,1974,9870000
World,OWID_WRL,1975,9640000
World,OWID_WRL,1976,9070000
World,OWID_WRL,1977,9960000
World,OWID_WRL,1978,10200000
World,OWID_WRL,1979,10900000
World,OWID_WRL,1980,11500000
World,OWID_WRL,1981,11300000
World,OWID_WRL,1982,11400000
World,OWID_WRL,1983,11300000
World,OWID_WRL,1984,11800000
World,OWID_WRL,1985,12200000
World,OWID_WRL,1986,12300000
World,OWID_WRL,1987,12000000
World,OWID_WRL,1988,12000000
World,OWID_WRL,1989,12000000
World,OWID_WRL,1990,10500000
World,OWID_WRL,1991,9790000
World,OWID_WRL,1992,10200000
World,OWID_WRL,1993,8280000
World,OWID_WRL,1994,9020000
World,OWID_WRL,1995,10600000
World,OWID_WRL,1996,11000000
World,OWID_WRL,1997,10100000
World,OWID_WRL,1998,11400000
World,OWID_WRL,1999,9830000
World,OWID_WRL,2000,12700000
World,OWID_WRL,2001,11100000
World,OWID_WRL,2002,14100000
World,OWID_WRL,2003,14100000
World,OWID_WRL,2004,16500000
World,OWID_WRL,2005,15600000
World,OWID_WRL,2006,14400000
World,OWID_WRL,2007,20300000
World,OWID_WRL,2008,21200000
World,OWID_WRL,2009,18300000
World,OWID_WRL,2010,21600000
World,OWID_WRL,2011,27700000
World,OWID_WRL,2012,24400000
World,OWID_WRL,2013,25900000
World,OWID_WRL,2014,25000000
World,OWID_WRL,2015,28000000
World,OWID_WRL,2016,28700000
World,OWID_WRL,2017,28600000
World,OWID_WRL,2018,27900000
World,OWID_WRL,2019,18400000
World,OWID_WRL,2020,27000000
World,OWID_WRL,2021,30000000
World,OWID_WRL,2022,21900000
World,OWID_WRL,2023,22000000
