Entity,Code,Year,reserves|Magnesium compounds|Mine|tonnes
Australia,AUS,2022,290000000
Australia,AUS,2023,280000000
Austria,AUT,2022,49000000
Austria,AUT,2023,49000000
Brazil,BRA,2022,200000000
Brazil,BRA,2023,200000000
China,CHN,2022,580000000
China,CHN,2023,580000000
Greece,GRC,2022,280000000
Greece,GRC,2023,280000000
India,IND,2022,82000000
India,IND,2023,66000000
Iran,IRN,2022,12000000
Iran,IRN,2023,10000000
Other,,2022,2500000000
Other,,2023,2500000000
Russia,RUS,2022,2300000000
Russia,RUS,2023,2300000000
Saudi Arabia,SAU,2023,2800000
Slovakia,SVK,2022,370000000
Slovakia,SVK,2023,1200000000
Spain,ESP,2022,35000000
Spain,ESP,2023,35000000
Turkey,TUR,2022,110000000
Turkey,TUR,2023,110000000
United States,USA,2022,35000000
United States,USA,2023,35000000
World,OWID_WRL,2023,7700000000
