Entity,Code,Year,unit value|Magnesium compounds|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,380
World,OWID_WRL,1901,140
World,OWID_WRL,1902,120
World,OWID_WRL,1903,120
World,OWID_WRL,1904,130
World,OWID_WRL,1905,160
World,OWID_WRL,1906,120
World,OWID_WRL,1907,120
World,OWID_WRL,1908,130
World,OWID_WRL,1909,170
World,OWID_WRL,1910,240
World,OWID_WRL,1911,320
World,OWID_WRL,1912,310
World,OWID_WRL,1913,303
World,OWID_WRL,1914,413
World,OWID_WRL,1915,334
World,OWID_WRL,1916,309
World,OWID_WRL,1917,269
World,OWID_WRL,1918,194
World,OWID_WRL,1919,174
World,OWID_WRL,1920,170
World,OWID_WRL,1921,224
World,OWID_WRL,1922,383
World,OWID_WRL,1923,274
World,OWID_WRL,1924,356
World,OWID_WRL,1925,385
World,OWID_WRL,1926,404
World,OWID_WRL,1927,275
World,OWID_WRL,1928,274
World,OWID_WRL,1929,227
World,OWID_WRL,1930,217
World,OWID_WRL,1931,251
World,OWID_WRL,1932,296
World,OWID_WRL,1933,273
World,OWID_WRL,1934,549
World,OWID_WRL,1935,363
World,OWID_WRL,1936,256
World,OWID_WRL,1937,256
World,OWID_WRL,1938,265
World,OWID_WRL,1939,270
World,OWID_WRL,1940,271
World,OWID_WRL,1941,322
World,OWID_WRL,1942,671
World,OWID_WRL,1943,784
World,OWID_WRL,1944,757
World,OWID_WRL,1945,492
World,OWID_WRL,1946,435
World,OWID_WRL,1947,414
World,OWID_WRL,1948,466
World,OWID_WRL,1949,505
World,OWID_WRL,1950,507
World,OWID_WRL,1951,427
World,OWID_WRL,1952,425
World,OWID_WRL,1953,426
World,OWID_WRL,1954,545
World,OWID_WRL,1955,481
World,OWID_WRL,1956,484
World,OWID_WRL,1957,587
World,OWID_WRL,1958,451
World,OWID_WRL,1959,424
World,OWID_WRL,1960,424
World,OWID_WRL,1961,408
World,OWID_WRL,1962,459
World,OWID_WRL,1963,431
World,OWID_WRL,1964,482
World,OWID_WRL,1965,483
World,OWID_WRL,1966,449
World,OWID_WRL,1967,484
World,OWID_WRL,1968,484
World,OWID_WRL,1969,466
World,OWID_WRL,1970,508
World,OWID_WRL,1971,523
World,OWID_WRL,1972,417
World,OWID_WRL,1973,422
World,OWID_WRL,1974,426
World,OWID_WRL,1975,509
World,OWID_WRL,1976,507
World,OWID_WRL,1977,492
World,OWID_WRL,1978,463
World,OWID_WRL,1979,422
World,OWID_WRL,1980,489
World,OWID_WRL,1981,484
World,OWID_WRL,1982,481
World,OWID_WRL,1983,452
World,OWID_WRL,1984,414
World,OWID_WRL,1985,554
World,OWID_WRL,1986,544
World,OWID_WRL,1987,451
World,OWID_WRL,1988,416
World,OWID_WRL,1989,408
World,OWID_WRL,1990,373
World,OWID_WRL,1991,411
World,OWID_WRL,1992,372
World,OWID_WRL,1993,373
World,OWID_WRL,1994,374
World,OWID_WRL,1995,435
World,OWID_WRL,1996,428
World,OWID_WRL,1997,439
World,OWID_WRL,1998,391
World,OWID_WRL,1999,372
World,OWID_WRL,2000,384
World,OWID_WRL,2001,391
World,OWID_WRL,2002,398
World,OWID_WRL,2003,453
World,OWID_WRL,2004,513
World,OWID_WRL,2005,496
World,OWID_WRL,2006,487
World,OWID_WRL,2007,417
World,OWID_WRL,2008,391
World,OWID_WRL,2009,442
World,OWID_WRL,2010,449
World,OWID_WRL,2011,456
World,OWID_WRL,2012,356
World,OWID_WRL,2013,360
World,OWID_WRL,2014,417
World,OWID_WRL,2015,299
World,OWID_WRL,2016,293
World,OWID_WRL,2017,415
World,OWID_WRL,2018,412.2063
World,OWID_WRL,2019,467.89987
World,OWID_WRL,2020,635
World,OWID_WRL,2021,607
World,OWID_WRL,2022,629
