Entity,Code,Year,reserves|Manganese|Mine|tonnes
Australia,AUS,2022,270000000
Australia,AUS,2023,500000000
Brazil,BRA,2022,270000000
Brazil,BRA,2023,270000000
China,CHN,2022,280000000
China,CHN,2023,280000000
Gabon,GAB,2022,61000000
Gabon,GAB,2023,61000000
Ghana,GHA,2022,13000000
Ghana,GHA,2023,13000000
India,IND,2022,34000000
India,IND,2023,34000000
Kazakhstan,KAZ,2022,5000000
Kazakhstan,KAZ,2023,5000000
Mexico,MEX,2022,5000000
Mexico,MEX,2023,5000000
South Africa,ZAF,2022,640000000
South Africa,ZAF,2023,600000000
Ukraine,UKR,2022,140000000
Ukraine,UKR,2023,140000000
United States,USA,2022,0
United States,USA,2023,0
World,OWID_WRL,2022,1700000000
World,OWID_WRL,2023,1900000000
