Entity,Code,Year,production|Molybdenum|Mine|tonnes
Argentina,ARG,2004,0
Argentina,ARG,2005,0
Argentina,ARG,2006,0
Argentina,ARG,2007,0
Argentina,ARG,2008,228
Argentina,ARG,2009,1148
Argentina,ARG,2010,468
Argentina,ARG,2011,1708
Argentina,ARG,2012,4850
Argentina,ARG,2013,3829
Argentina,ARG,2014,1907
Argentina,ARG,2015,1736
Argentina,ARG,2016,2048
Argentina,ARG,2017,1297
Argentina,ARG,2018,728
Argentina,ARG,2020,0
Argentina,ARG,2021,0
Argentina,ARG,2022,0
Argentina,ARG,2023,0
Armenia,ARM,1992,1000
Armenia,ARM,1993,500
Armenia,ARM,1994,500
Armenia,ARM,1995,1500
Armenia,ARM,1996,1800
Armenia,ARM,1997,1800
Armenia,ARM,1998,2600
Armenia,ARM,1999,2756
Armenia,ARM,2000,3082
Armenia,ARM,2001,2943
Armenia,ARM,2002,2883
Armenia,ARM,2003,2763
Armenia,ARM,2004,2950
Armenia,ARM,2005,3030
Armenia,ARM,2006,4090
Armenia,ARM,2007,4385
Armenia,ARM,2008,4472
Armenia,ARM,2009,4365
Armenia,ARM,2010,4377
Armenia,ARM,2011,4822
Armenia,ARM,2012,5446
Armenia,ARM,2013,5934
Armenia,ARM,2014,6022
Armenia,ARM,2015,5324
Armenia,ARM,2016,5438
Armenia,ARM,2017,5886
Armenia,ARM,2018,5666
Armenia,ARM,2019,7360
Armenia,ARM,2020,8700
Armenia,ARM,2021,7760
Armenia,ARM,2022,7800
Armenia,ARM,2023,7800
Australia,AUS,2022,277
Australia,AUS,2023,500
Brazil,BRA,2008,760
Brazil,BRA,2009,262
Brazil,BRA,2010,337
Brazil,BRA,2011,263
Brazil,BRA,2012,185
Brazil,BRA,2013,200
Brazil,BRA,2014,200
Brazil,BRA,2015,200
Brazil,BRA,2016,200
Brazil,BRA,2017,200
Brazil,BRA,2018,200
Brazil,BRA,2019,200
Brazil,BRA,2020,200
Brazil,BRA,2021,200
Brazil,BRA,2022,200
Bulgaria,BGR,1977,150
Bulgaria,BGR,1978,150
Bulgaria,BGR,1979,150
Bulgaria,BGR,1980,150
Bulgaria,BGR,1981,150
Bulgaria,BGR,1982,170
Bulgaria,BGR,1983,190
Bulgaria,BGR,1984,190
Bulgaria,BGR,1985,190
Bulgaria,BGR,1986,190
Bulgaria,BGR,1987,200
Bulgaria,BGR,1988,200
Bulgaria,BGR,1989,190
Bulgaria,BGR,1990,231
Bulgaria,BGR,1991,200
Bulgaria,BGR,1992,200
Bulgaria,BGR,1993,200
Bulgaria,BGR,1994,200
Bulgaria,BGR,1995,400
Bulgaria,BGR,1996,400
Bulgaria,BGR,1997,400
Canada,CAN,1977,16568
Canada,CAN,1978,13943
Canada,CAN,1979,11175
Canada,CAN,1980,11889
Canada,CAN,1981,12850
Canada,CAN,1982,13961
Canada,CAN,1983,10194
Canada,CAN,1984,11557
Canada,CAN,1985,6950
Canada,CAN,1986,11251
Canada,CAN,1987,12509
Canada,CAN,1988,12494
Canada,CAN,1989,14073
Canada,CAN,1990,11994
Canada,CAN,1991,11329
Canada,CAN,1992,9405
Canada,CAN,1993,9699
Canada,CAN,1994,9188
Canada,CAN,1995,9522
Canada,CAN,1996,8097
Canada,CAN,1997,8223
Canada,CAN,1998,8469
Canada,CAN,1999,5932
Canada,CAN,2000,7457
Canada,CAN,2001,8233
Canada,CAN,2002,8043
Canada,CAN,2003,9092
Canada,CAN,2004,9519
Canada,CAN,2005,7935
Canada,CAN,2006,7723
Canada,CAN,2007,6681
Canada,CAN,2008,8602
Canada,CAN,2009,8721
Canada,CAN,2010,8648
Canada,CAN,2011,8674
Canada,CAN,2012,8954
Canada,CAN,2013,8952
Canada,CAN,2014,8681
Canada,CAN,2015,1983
Canada,CAN,2016,2883
Canada,CAN,2017,4941
Canada,CAN,2018,5036
Canada,CAN,2019,3955
Canada,CAN,2020,2530
Canada,CAN,2021,1390
Canada,CAN,2022,952
Canada,CAN,2023,1000
Chile,CHL,1977,10938
Chile,CHL,1978,13196
Chile,CHL,1979,13560
Chile,CHL,1980,13668
Chile,CHL,1981,15360
Chile,CHL,1982,20048
Chile,CHL,1983,15264
Chile,CHL,1984,16861
Chile,CHL,1985,18391
Chile,CHL,1986,16581
Chile,CHL,1987,16941
Chile,CHL,1988,15515
Chile,CHL,1989,16550
Chile,CHL,1990,13830
Chile,CHL,1991,14434
Chile,CHL,1992,14840
Chile,CHL,1993,14899
Chile,CHL,1994,16028
Chile,CHL,1995,17889
Chile,CHL,1996,17415
Chile,CHL,1997,21339
Chile,CHL,1998,25298
Chile,CHL,1999,27270
Chile,CHL,2000,33639
Chile,CHL,2001,33492
Chile,CHL,2002,29467
Chile,CHL,2003,33375
Chile,CHL,2004,41883
Chile,CHL,2005,47885
Chile,CHL,2006,43158
Chile,CHL,2007,44775
Chile,CHL,2008,33639
Chile,CHL,2009,34786
Chile,CHL,2010,37044
Chile,CHL,2011,40698
Chile,CHL,2012,34793
Chile,CHL,2013,38433
Chile,CHL,2014,48898
Chile,CHL,2015,52398
Chile,CHL,2016,55834
Chile,CHL,2017,62454
Chile,CHL,2018,60248
Chile,CHL,2019,53541
Chile,CHL,2020,59400
Chile,CHL,2021,49400
Chile,CHL,2022,45600
Chile,CHL,2023,46000
China,CHN,1977,1500
China,CHN,1978,2000
China,CHN,1979,2000
China,CHN,1980,2000
China,CHN,1981,2000
China,CHN,1982,2000
China,CHN,1983,2000
China,CHN,1984,2000
China,CHN,1985,2000
China,CHN,1986,2000
China,CHN,1987,12000
China,CHN,1988,14400
China,CHN,1989,15700
China,CHN,1990,14800
China,CHN,1991,13200
China,CHN,1992,19600
China,CHN,1993,18300
China,CHN,1994,21400
China,CHN,1995,33000
China,CHN,1996,29600
China,CHN,1997,33300
China,CHN,1998,30015
China,CHN,1999,29745
China,CHN,2000,28755
China,CHN,2001,28201
China,CHN,2002,30330
China,CHN,2003,32220
China,CHN,2004,38430
China,CHN,2005,30000
China,CHN,2006,43900
China,CHN,2007,67700
China,CHN,2008,81000
China,CHN,2009,90270
China,CHN,2010,96615
China,CHN,2011,103320
China,CHN,2012,120870
China,CHN,2013,122265
China,CHN,2014,128538
China,CHN,2015,135270
China,CHN,2016,129357
China,CHN,2017,117104
China,CHN,2018,113308
China,CHN,2019,104435
China,CHN,2020,120000
China,CHN,2021,95300
China,CHN,2022,106000
China,CHN,2023,110000
Iran,IRN,1984,500
Iran,IRN,1985,500
Iran,IRN,1986,900
Iran,IRN,1987,874
Iran,IRN,1988,1181
Iran,IRN,1989,1305
Iran,IRN,1990,500
Iran,IRN,1991,400
Iran,IRN,1992,800
Iran,IRN,1993,1200
Iran,IRN,1994,1500
Iran,IRN,1995,800
Iran,IRN,1996,1200
Iran,IRN,1997,1600
Iran,IRN,1998,2400
Iran,IRN,1999,2600
Iran,IRN,2000,2000
Iran,IRN,2001,2600
Iran,IRN,2002,2370
Iran,IRN,2003,2290
Iran,IRN,2004,1890
Iran,IRN,2005,2476
Iran,IRN,2006,3574
Iran,IRN,2007,3205
Iran,IRN,2008,3628
Iran,IRN,2009,3882
Iran,IRN,2010,3676
Iran,IRN,2011,3365
Iran,IRN,2012,3512
Iran,IRN,2013,3470
Iran,IRN,2014,4000
Iran,IRN,2015,6705
Iran,IRN,2016,6975
Iran,IRN,2017,7767
Iran,IRN,2018,7662
Iran,IRN,2019,8711
Iran,IRN,2020,1400
Iran,IRN,2021,3100
Iran,IRN,2022,3700
Iran,IRN,2023,3700
Japan,JPN,1977,182
Japan,JPN,1978,74
Japan,JPN,1979,70
Japan,JPN,1980,60
Japan,JPN,1981,79
Japan,JPN,1982,103
Japan,JPN,1983,102
Japan,JPN,1984,157
Japan,JPN,1985,100
Japan,JPN,1986,100
Japan,JPN,1987,100
Japan,JPN,1988,100
Japan,JPN,1989,100
Japan,JPN,1990,100
Japan,JPN,1991,100
Japan,JPN,1994,651
Japan,JPN,1995,689
Kazakhstan,KAZ,1992,700
Kazakhstan,KAZ,1993,600
Kazakhstan,KAZ,1994,218
Kazakhstan,KAZ,1995,156
Kazakhstan,KAZ,1996,44
Kazakhstan,KAZ,1997,81
Kazakhstan,KAZ,1998,100
Kazakhstan,KAZ,1999,155
Kazakhstan,KAZ,2000,215
Kazakhstan,KAZ,2001,94
Kazakhstan,KAZ,2002,46
Kazakhstan,KAZ,2003,53
Kazakhstan,KAZ,2006,400
Kazakhstan,KAZ,2007,500
Kazakhstan,KAZ,2008,400
Kazakhstan,KAZ,2015,0
Kazakhstan,KAZ,2016,0
Kazakhstan,KAZ,2017,0
Kazakhstan,KAZ,2018,149
Kazakhstan,KAZ,2019,258
Kazakhstan,KAZ,2020,400
Kazakhstan,KAZ,2021,396
Kazakhstan,KAZ,2022,2679
Kyrgyzstan,KGZ,1998,148
Kyrgyzstan,KGZ,1999,242
Kyrgyzstan,KGZ,2000,250
Kyrgyzstan,KGZ,2001,250
Kyrgyzstan,KGZ,2002,250
Kyrgyzstan,KGZ,2003,250
Kyrgyzstan,KGZ,2004,250
Kyrgyzstan,KGZ,2005,250
Kyrgyzstan,KGZ,2006,250
Kyrgyzstan,KGZ,2017,21
Kyrgyzstan,KGZ,2018,20
Kyrgyzstan,KGZ,2019,23
Kyrgyzstan,KGZ,2020,20
Kyrgyzstan,KGZ,2021,15
Kyrgyzstan,KGZ,2022,15
Mexico,MEX,1977,1
Mexico,MEX,1978,11
Mexico,MEX,1979,48
Mexico,MEX,1980,74
Mexico,MEX,1981,451
Mexico,MEX,1982,5190
Mexico,MEX,1983,5866
Mexico,MEX,1984,4054
Mexico,MEX,1985,3761
Mexico,MEX,1986,3350
Mexico,MEX,1987,4400
Mexico,MEX,1988,4456
Mexico,MEX,1989,4189
Mexico,MEX,1990,2001
Mexico,MEX,1991,1716
Mexico,MEX,1992,1458
Mexico,MEX,1993,1705
Mexico,MEX,1994,2613
Mexico,MEX,1995,3883
Mexico,MEX,1996,4211
Mexico,MEX,1997,4842
Mexico,MEX,1998,5949
Mexico,MEX,1999,7961
Mexico,MEX,2000,6886
Mexico,MEX,2001,5518
Mexico,MEX,2002,3428
Mexico,MEX,2003,3524
Mexico,MEX,2004,3731
Mexico,MEX,2005,4245
Mexico,MEX,2006,2519
Mexico,MEX,2007,6491
Mexico,MEX,2008,7812
Mexico,MEX,2009,10167
Mexico,MEX,2010,10849
Mexico,MEX,2011,10787
Mexico,MEX,2012,11366
Mexico,MEX,2013,12562
Mexico,MEX,2014,14370
Mexico,MEX,2015,11327
Mexico,MEX,2016,11896
Mexico,MEX,2017,13985
Mexico,MEX,2018,20265
Mexico,MEX,2019,21694
Mexico,MEX,2020,16600
Mexico,MEX,2021,16300
Mexico,MEX,2022,15500
Mexico,MEX,2023,15000
Mongolia,MNG,1979,222
Mongolia,MNG,1980,487
Mongolia,MNG,1981,660
Mongolia,MNG,1982,800
Mongolia,MNG,1983,950
Mongolia,MNG,1984,1000
Mongolia,MNG,1985,1000
Mongolia,MNG,1986,1519
Mongolia,MNG,1987,1526
Mongolia,MNG,1988,1547
Mongolia,MNG,1989,1574
Mongolia,MNG,1990,2011
Mongolia,MNG,1991,1700
Mongolia,MNG,1992,1500
Mongolia,MNG,1993,1600
Mongolia,MNG,1994,2000
Mongolia,MNG,1995,1823
Mongolia,MNG,1996,2201
Mongolia,MNG,1997,1992
Mongolia,MNG,1998,1848
Mongolia,MNG,1999,1954
Mongolia,MNG,2000,1336
Mongolia,MNG,2001,1423
Mongolia,MNG,2002,1590
Mongolia,MNG,2003,1803
Mongolia,MNG,2004,1103
Mongolia,MNG,2005,1188
Mongolia,MNG,2006,1404
Mongolia,MNG,2007,1978
Mongolia,MNG,2008,1900
Mongolia,MNG,2009,2410
Mongolia,MNG,2010,2198
Mongolia,MNG,2011,1957
Mongolia,MNG,2012,1904
Mongolia,MNG,2013,1819
Mongolia,MNG,2014,1999
Mongolia,MNG,2015,2557
Mongolia,MNG,2016,2431
Mongolia,MNG,2017,2707
Mongolia,MNG,2018,2579
Mongolia,MNG,2019,2492
Mongolia,MNG,2020,2890
Mongolia,MNG,2021,2970
Mongolia,MNG,2022,3000
Mongolia,MNG,2023,3100
Niger,NER,1979,10
Niger,NER,1980,122
Niger,NER,1981,116
Niger,NER,1982,42
Niger,NER,1983,83
Niger,NER,1984,57
Niger,NER,1985,32
Niger,NER,1986,20
Niger,NER,1987,8
Niger,NER,1988,15
Niger,NER,1989,13
Niger,NER,1990,10
Niger,NER,1991,10
Niger,NER,1992,10
Niger,NER,1993,10
North Korea,PRK,2022,700
North Korea,PRK,2023,700
Norway,NOR,2012,4
Norway,NOR,2013,8
Norway,NOR,2014,2
Norway,NOR,2015,1
