Entity,Code,Year,reserves|Molybdenum|Mine|tonnes
Argentina,ARG,2022,100000
Argentina,ARG,2023,100000
Armenia,ARM,2022,150000
Armenia,ARM,2023,150000
Australia,AUS,2023,690000
Canada,CAN,2022,72000
Canada,CAN,2023,72000
Chile,CHL,2022,1400000
Chile,CHL,2023,1400000
China,CHN,2022,3700000
China,CHN,2023,5800000
Iran,IRN,2022,43000
Iran,IRN,2023,43000
Mexico,MEX,2022,130000
Mexico,MEX,2023,130000
Peru,PER,2022,2400000
Peru,PER,2023,1500000
Russia,RUS,2022,430000
Russia,RUS,2023,1100000
South Korea,KOR,2022,8000
South Korea,KOR,2023,8000
Turkey,TUR,2022,360000
Turkey,TUR,2023,52000
United States,USA,2022,2700000
United States,USA,2023,3500000
Uzbekistan,UZB,2022,21000
Uzbekistan,UZB,2023,21000
World,OWID_WRL,2022,12000000
World,OWID_WRL,2023,14000000
