Entity,Code,Year,unit value|Molybdenum|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1912,7600
World,OWID_WRL,1913,11000
World,OWID_WRL,1914,36400
World,OWID_WRL,1915,36000
World,OWID_WRL,1916,33400
World,OWID_WRL,1917,40200
World,OWID_WRL,1918,35400
World,OWID_WRL,1919,24300
World,OWID_WRL,1920,9110
World,OWID_WRL,1921,14300
World,OWID_WRL,1922,4760
World,OWID_WRL,1923,16200
World,OWID_WRL,1924,19200
World,OWID_WRL,1925,8330
World,OWID_WRL,1926,14400
World,OWID_WRL,1927,15900
World,OWID_WRL,1928,21300
World,OWID_WRL,1929,10700
World,OWID_WRL,1930,12100
World,OWID_WRL,1931,10100
World,OWID_WRL,1932,13400
World,OWID_WRL,1933,21100
World,OWID_WRL,1934,19100
World,OWID_WRL,1935,18600
World,OWID_WRL,1936,17400
World,OWID_WRL,1937,17300
World,OWID_WRL,1938,18200
World,OWID_WRL,1939,17800
World,OWID_WRL,1940,18000
World,OWID_WRL,1941,16800
World,OWID_WRL,1942,15900
World,OWID_WRL,1943,15500
World,OWID_WRL,1944,16100
World,OWID_WRL,1945,15600
World,OWID_WRL,1946,15000
World,OWID_WRL,1947,13300
World,OWID_WRL,1948,12600
World,OWID_WRL,1949,14400
World,OWID_WRL,1950,14500
World,OWID_WRL,1951,14500
World,OWID_WRL,1952,14400
World,OWID_WRL,1953,14800
World,OWID_WRL,1954,15400
World,OWID_WRL,1955,15700
World,OWID_WRL,1956,16300
World,OWID_WRL,1957,16500
World,OWID_WRL,1958,16600
World,OWID_WRL,1959,16900
World,OWID_WRL,1960,16700
World,OWID_WRL,1961,17600
World,OWID_WRL,1962,17800
World,OWID_WRL,1963,17600
World,OWID_WRL,1964,18500
World,OWID_WRL,1965,18900
World,OWID_WRL,1966,18200
World,OWID_WRL,1967,18200
World,OWID_WRL,1968,18000
World,OWID_WRL,1969,17700
World,OWID_WRL,1970,16400
World,OWID_WRL,1971,16200
World,OWID_WRL,1972,15300
World,OWID_WRL,1973,14200
World,OWID_WRL,1974,15500
World,OWID_WRL,1975,18900
World,OWID_WRL,1976,20500
World,OWID_WRL,1977,28800
World,OWID_WRL,1978,50600
World,OWID_WRL,1979,114000
World,OWID_WRL,1980,40900
World,OWID_WRL,1981,25300
World,OWID_WRL,1982,15200
World,OWID_WRL,1983,13200
World,OWID_WRL,1984,12300
World,OWID_WRL,1985,10800
World,OWID_WRL,1986,9400
World,OWID_WRL,1987,9180
World,OWID_WRL,1988,10500
World,OWID_WRL,1989,9750
World,OWID_WRL,1990,7840
World,OWID_WRL,1991,6280
World,OWID_WRL,1992,5650
World,OWID_WRL,1993,5820
World,OWID_WRL,1994,11500
World,OWID_WRL,1995,18600
World,OWID_WRL,1996,8660
World,OWID_WRL,1997,9620
World,OWID_WRL,1998,7500
World,OWID_WRL,1999,5720
World,OWID_WRL,2000,5330
World,OWID_WRL,2001,4780
World,OWID_WRL,2002,7500
World,OWID_WRL,2003,10400
World,OWID_WRL,2004,31700
World,OWID_WRL,2005,58500
World,OWID_WRL,2006,44200
World,OWID_WRL,2007,52500
World,OWID_WRL,2008,47700
World,OWID_WRL,2009,19600
World,OWID_WRL,2010,26000
World,OWID_WRL,2011,24900
World,OWID_WRL,2012,19900
World,OWID_WRL,2013,16000
World,OWID_WRL,2014,17800
World,OWID_WRL,2015,10400
World,OWID_WRL,2016,9780
World,OWID_WRL,2017,12000
World,OWID_WRL,2018,17600
World,OWID_WRL,2019,16900
World,OWID_WRL,2020,12500
World,OWID_WRL,2021,21300
World,OWID_WRL,2022,23000
