Entity,Code,Year,production|Nickel|Mine|tonnes
Australia,AUS,2020,169000
Australia,AUS,2021,151000
Australia,AUS,2022,155000
Australia,AUS,2023,160000
Brazil,BRA,2020,77100
Brazil,BRA,2021,76000
Brazil,BRA,2022,88500
Brazil,BRA,2023,89000
Canada,CAN,2020,167000
Canada,CAN,2021,134000
Canada,CAN,2022,143000
Canada,CAN,2023,180000
China,CHN,2020,120000
China,CHN,2021,109000
China,CHN,2022,114000
China,CHN,2023,110000
Indonesia,IDN,2020,771000
Indonesia,IDN,2021,1040000
Indonesia,IDN,2022,1580000
Indonesia,IDN,2023,1800000
New Caledonia,NCL,2020,200000
New Caledonia,NCL,2021,186000
New Caledonia,NCL,2022,200000
New Caledonia,NCL,2023,230000
Other,,2020,373000
Other,,2021,429000
Other,,2022,404000
Other,,2023,380000
Philippines,PHL,2020,334000
Philippines,PHL,2021,387000
Philippines,PHL,2022,345000
Philippines,PHL,2023,400000
Russia,RUS,2020,283000
Russia,RUS,2021,205000
Russia,RUS,2022,222000
Russia,RUS,2023,200000
United States,USA,2020,16700
United States,USA,2021,18400
United States,USA,2022,17500
United States,USA,2023,17000
World,OWID_WRL,1900,9290
World,OWID_WRL,1901,11400
World,OWID_WRL,1902,12200
World,OWID_WRL,1903,10200
World,OWID_WRL,1904,10500
World,OWID_WRL,1905,15600
World,OWID_WRL,1906,16000
World,OWID_WRL,1907,16300
World,OWID_WRL,1908,14900
World,OWID_WRL,1909,17000
World,OWID_WRL,1910,23100
World,OWID_WRL,1911,25200
World,OWID_WRL,1912,27900
World,OWID_WRL,1913,32200
World,OWID_WRL,1914,30000
World,OWID_WRL,1915,39100
World,OWID_WRL,1916,45500
World,OWID_WRL,1917,46200
World,OWID_WRL,1918,47600
World,OWID_WRL,1919,23100
World,OWID_WRL,1920,35700
World,OWID_WRL,1921,10400
World,OWID_WRL,1922,11800
World,OWID_WRL,1923,31100
World,OWID_WRL,1924,35300
World,OWID_WRL,1925,37100
World,OWID_WRL,1926,33900
World,OWID_WRL,1927,34500
World,OWID_WRL,1928,50300
World,OWID_WRL,1929,56300
World,OWID_WRL,1930,54200
World,OWID_WRL,1931,36300
World,OWID_WRL,1932,21800
World,OWID_WRL,1933,46300
World,OWID_WRL,1934,71600
World,OWID_WRL,1935,77400
World,OWID_WRL,1936,93400
World,OWID_WRL,1937,120000
World,OWID_WRL,1938,115000
World,OWID_WRL,1939,122000
World,OWID_WRL,1940,140000
World,OWID_WRL,1941,162000
World,OWID_WRL,1942,158000
World,OWID_WRL,1943,167000
World,OWID_WRL,1944,157000
World,OWID_WRL,1945,145000
World,OWID_WRL,1946,123000
World,OWID_WRL,1947,140000
World,OWID_WRL,1948,151000
World,OWID_WRL,1949,146000
World,OWID_WRL,1950,145000
World,OWID_WRL,1951,132000
World,OWID_WRL,1952,146000
World,OWID_WRL,1953,198000
World,OWID_WRL,1954,216000
World,OWID_WRL,1955,239000
World,OWID_WRL,1956,259000
World,OWID_WRL,1957,286000
World,OWID_WRL,1958,224000
World,OWID_WRL,1959,285000
World,OWID_WRL,1960,320000
World,OWID_WRL,1961,361000
World,OWID_WRL,1962,357000
World,OWID_WRL,1963,339000
World,OWID_WRL,1964,371000
World,OWID_WRL,1965,425000
World,OWID_WRL,1966,412000
World,OWID_WRL,1967,449000
World,OWID_WRL,1968,497000
World,OWID_WRL,1969,487000
World,OWID_WRL,1970,628000
World,OWID_WRL,1971,637000
World,OWID_WRL,1972,611000
World,OWID_WRL,1973,710000
World,OWID_WRL,1974,770000
World,OWID_WRL,1975,802000
World,OWID_WRL,1976,792000
World,OWID_WRL,1977,828000
World,OWID_WRL,1978,658000
World,OWID_WRL,1979,686000
World,OWID_WRL,1980,779000
World,OWID_WRL,1981,726000
World,OWID_WRL,1982,621000
World,OWID_WRL,1983,673000
World,OWID_WRL,1984,773000
World,OWID_WRL,1985,813000
World,OWID_WRL,1986,852000
World,OWID_WRL,1987,891000
World,OWID_WRL,1988,952000
World,OWID_WRL,1989,987000
World,OWID_WRL,1990,974000
World,OWID_WRL,1991,1010000
World,OWID_WRL,1992,1010000
World,OWID_WRL,1993,928000
World,OWID_WRL,1994,932000
World,OWID_WRL,1995,1040000
World,OWID_WRL,1996,1060000
World,OWID_WRL,1997,1140000
World,OWID_WRL,1998,1180000
World,OWID_WRL,1999,1170000
World,OWID_WRL,2000,1290000
World,OWID_WRL,2001,1350000
World,OWID_WRL,2002,1350000
World,OWID_WRL,2003,1370000
World,OWID_WRL,2004,1350000
World,OWID_WRL,2005,1460000
World,OWID_WRL,2006,1570000
World,OWID_WRL,2007,1740000
World,OWID_WRL,2008,1630000
World,OWID_WRL,2009,1410000
World,OWID_WRL,2010,1710000
World,OWID_WRL,2011,2340000
World,OWID_WRL,2012,2570000
World,OWID_WRL,2013,2610000
World,OWID_WRL,2014,2130000
World,OWID_WRL,2015,2110000
World,OWID_WRL,2016,2000000
World,OWID_WRL,2017,2190000
World,OWID_WRL,2018,2380000
World,OWID_WRL,2019,2590000
World,OWID_WRL,2020,2510000
World,OWID_WRL,2021,2730000
World,OWID_WRL,2022,3270000
World,OWID_WRL,2023,3600000
