Entity,Code,Year,production|Nickel|Processing|tonnes
Albania,ALB,1977,3700
Albania,ALB,1978,4000
Albania,ALB,1979,4500
Albania,ALB,1980,4500
Albania,ALB,1981,4500
Albania,ALB,1982,4500
Albania,ALB,1983,4500
Albania,ALB,1984,4000
Albania,ALB,1985,4000
Albania,ALB,1986,4000
Albania,ALB,1987,4000
Albania,ALB,1988,5000
Albania,ALB,1989,1900
Albania,ALB,1990,2143
Albania,ALB,1991,827
Australia,AUS,1977,34140
Australia,AUS,1978,37327
Australia,AUS,1979,39341
Australia,AUS,1980,35309
Australia,AUS,1981,42505
Australia,AUS,1982,45931
Australia,AUS,1983,41800
Australia,AUS,1984,38660
Australia,AUS,1985,40807
Australia,AUS,1986,42097
Australia,AUS,1987,44529
Australia,AUS,1988,37400
Australia,AUS,1989,43600
Australia,AUS,1990,44600
Australia,AUS,1991,50000
Australia,AUS,1992,50584
Australia,AUS,1993,61400
Australia,AUS,1994,66500
Australia,AUS,1995,76900
Australia,AUS,1996,74000
Australia,AUS,1997,73700
Australia,AUS,1998,79600
Australia,AUS,1999,83600
Australia,AUS,2000,112200
Australia,AUS,2001,129000
Australia,AUS,2002,132200
Australia,AUS,2003,129000
Australia,AUS,2004,122000
Australia,AUS,2005,120994
Australia,AUS,2006,116517
Australia,AUS,2007,114484
Australia,AUS,2008,108915
Australia,AUS,2009,131210
Australia,AUS,2010,101594
Australia,AUS,2011,110214
Australia,AUS,2012,125636
Australia,AUS,2013,141251
Australia,AUS,2014,137762
Australia,AUS,2015,152978
Australia,AUS,2016,120520
Australia,AUS,2017,108500
Australia,AUS,2018,114517
Australia,AUS,2019,106470
Australia,AUS,2020,115800
Australia,AUS,2021,98970
Australia,AUS,2022,96500
Austria,AUT,1992,3900
Austria,AUT,1993,3200
Austria,AUT,1994,2100
Austria,AUT,1995,2000
Austria,AUT,1996,2000
Austria,AUT,1997,2000
Austria,AUT,1998,1800
Austria,AUT,1999,1500
Austria,AUT,2000,1300
Austria,AUT,2001,1300
Austria,AUT,2002,1000
Austria,AUT,2003,1000
Austria,AUT,2004,1300
Austria,AUT,2005,1000
Austria,AUT,2006,900
Austria,AUT,2007,900
Austria,AUT,2008,500
Austria,AUT,2009,700
Austria,AUT,2010,1000
Austria,AUT,2011,500
Austria,AUT,2012,500
Austria,AUT,2013,500
Austria,AUT,2014,600
Austria,AUT,2015,700
Austria,AUT,2016,700
Austria,AUT,2017,700
Austria,AUT,2018,700
Austria,AUT,2019,700
Austria,AUT,2020,700
Austria,AUT,2021,700
Austria,AUT,2022,700
Brazil,BRA,1977,2530
Brazil,BRA,1978,2288
Brazil,BRA,1979,2463
Brazil,BRA,1980,2504
Brazil,BRA,1981,2334
Brazil,BRA,1982,4813
Brazil,BRA,1983,10740
Brazil,BRA,1984,12716
Brazil,BRA,1985,13166
Brazil,BRA,1986,13465
Brazil,BRA,1987,13862
Brazil,BRA,1988,13101
Brazil,BRA,1989,13727
Brazil,BRA,1990,13004
Brazil,BRA,1991,13840
Brazil,BRA,1992,14668
Brazil,BRA,1993,15705
Brazil,BRA,1994,16610
Brazil,BRA,1995,15676
Brazil,BRA,1996,16432
Brazil,BRA,1997,19379
Brazil,BRA,1998,25753
Brazil,BRA,1999,32237
Brazil,BRA,2000,31751
Brazil,BRA,2001,33680
Brazil,BRA,2002,29961
Brazil,BRA,2003,30514
Brazil,BRA,2004,32101
Brazil,BRA,2005,36315
Brazil,BRA,2006,36569
Brazil,BRA,2007,34954
Brazil,BRA,2008,36000
Brazil,BRA,2009,32800
Brazil,BRA,2010,41900
Brazil,BRA,2011,43271
Brazil,BRA,2012,59779
Brazil,BRA,2013,57500
Brazil,BRA,2014,79600
Brazil,BRA,2015,77700
Brazil,BRA,2016,77100
Brazil,BRA,2017,68500
Brazil,BRA,2018,62200
Brazil,BRA,2019,54300
Brazil,BRA,2020,59600
Brazil,BRA,2021,60800
Brazil,BRA,2022,63400
Canada,CAN,1977,151966
Canada,CAN,1978,89233
Canada,CAN,1979,83747
Canada,CAN,1980,142155
Canada,CAN,1981,106406
Canada,CAN,1982,72826
Canada,CAN,1983,93047
Canada,CAN,1984,111591
Canada,CAN,1985,117200
Canada,CAN,1986,124200
Canada,CAN,1987,131300
Canada,CAN,1988,148300
Canada,CAN,1989,142763
Canada,CAN,1990,134700
Canada,CAN,1991,131500
Canada,CAN,1992,135233
Canada,CAN,1993,123139
Canada,CAN,1994,105144
Canada,CAN,1995,125311
Canada,CAN,1996,130136
Canada,CAN,1997,131639
Canada,CAN,1998,146755
Canada,CAN,1999,124260
Canada,CAN,2000,134225
Canada,CAN,2001,140591
Canada,CAN,2002,144476
Canada,CAN,2003,124418
Canada,CAN,2004,151518
Canada,CAN,2005,139683
Canada,CAN,2006,146899
Canada,CAN,2007,153647
Canada,CAN,2008,167732
Canada,CAN,2009,116909
Canada,CAN,2010,105413
Canada,CAN,2011,142445
Canada,CAN,2012,146850
Canada,CAN,2013,152728
Canada,CAN,2014,149486
Canada,CAN,2015,149716
Canada,CAN,2016,158299
Canada,CAN,2017,154759
Canada,CAN,2018,137411
Canada,CAN,2019,124736
Canada,CAN,2020,124043
Canada,CAN,2021,119000
Canada,CAN,2022,143266
China,CHN,1977,10000
China,CHN,1978,10000
China,CHN,1979,11000
China,CHN,1980,11000
China,CHN,1981,12000
China,CHN,1982,12500
China,CHN,1983,13000
China,CHN,1984,17500
China,CHN,1985,24600
China,CHN,1986,23800
China,CHN,1987,25500
China,CHN,1988,25500
China,CHN,1989,34300
China,CHN,1990,27500
China,CHN,1991,28000
China,CHN,1992,30800
China,CHN,1993,30500
China,CHN,1994,31300
China,CHN,1995,38900
China,CHN,1996,44600
China,CHN,1997,43300
China,CHN,1998,40100
China,CHN,1999,44400
China,CHN,2000,50900
China,CHN,2001,49700
China,CHN,2002,52400
China,CHN,2003,64700
China,CHN,2004,72600
China,CHN,2005,97800
China,CHN,2006,136600
China,CHN,2007,199300
China,CHN,2008,200300
China,CHN,2009,253800
China,CHN,2010,332300
China,CHN,2011,435200
China,CHN,2012,519200
China,CHN,2013,693500
China,CHN,2014,690500
China,CHN,2015,600000
China,CHN,2016,573400
China,CHN,2017,670000
China,CHN,2018,705000
China,CHN,2019,806000
China,CHN,2020,745000
China,CHN,2021,669000
China,CHN,2022,850000
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,1319
Colombia,COL,1983,13055
Colombia,COL,1984,16575
Colombia,COL,1985,11373
Colombia,COL,1986,18018
Colombia,COL,1987,19344
Colombia,COL,1988,16877
Colombia,COL,1989,16935
Colombia,COL,1990,18425
Colombia,COL,1991,20190
Colombia,COL,1992,20195
Colombia,COL,1993,20182
Colombia,COL,1994,20834
Colombia,COL,1995,24565
Colombia,COL,1996,22933
Colombia,COL,1997,25170
Colombia,COL,1998,28140
Colombia,COL,1999,28341
Colombia,COL,2000,27737
Colombia,COL,2001,38446
Colombia,COL,2002,43412
Colombia,COL,2003,46482
Colombia,COL,2004,48016
Colombia,COL,2005,52749
Colombia,COL,2006,51137
Colombia,COL,2007,49312
Colombia,COL,2008,41638
Colombia,COL,2009,51802
Colombia,COL,2010,49443
Colombia,COL,2011,37817
Colombia,COL,2012,103967
Colombia,COL,2013,49369
Colombia,COL,2014,41221
Colombia,COL,2015,36671
Colombia,COL,2016,37091
Colombia,COL,2017,40606
Colombia,COL,2018,43055
Colombia,COL,2019,40571
Colombia,COL,2020,36094
Colombia,COL,2021,38300
Colombia,COL,2022,41816
Cuba,CUB,1977,18626
Cuba,CUB,1978,18307
Cuba,CUB,1979,19052
Cuba,CUB,1980,20020
Cuba,CUB,1981,20850
Cuba,CUB,1982,21001
Cuba,CUB,1983,9342
Cuba,CUB,1984,17346
Cuba,CUB,1985,15884
Cuba,CUB,1986,16400
Cuba,CUB,1987,18186
Cuba,CUB,1988,23831
Cuba,CUB,1989,26261
Cuba,CUB,1990,21126
Cuba,CUB,1991,18756
Cuba,CUB,1992,16920
Cuba,CUB,1993,16193
Cuba,CUB,1994,14099
Cuba,CUB,1995,21387
Cuba,CUB,1996,26730
Cuba,CUB,1997,33571
Cuba,CUB,1998,38192
Cuba,CUB,1999,37510
Cuba,CUB,2000,39511
Cuba,CUB,2001,40700
Cuba,CUB,2002,39500
Cuba,CUB,2003,42300
Cuba,CUB,2004,38800
Cuba,CUB,2005,39100
Cuba,CUB,2006,42000
Cuba,CUB,2007,34000
Cuba,CUB,2008,35600
Cuba,CUB,2009,33599
Cuba,CUB,2010,33972
Cuba,CUB,2011,34572
Cuba,CUB,2012,25700
Cuba,CUB,2013,16600
Cuba,CUB,2014,13300
Cuba,CUB,2015,14700
Cuba,CUB,2016,15000
Cuba,CUB,2017,15800
Cuba,CUB,2018,14700
Cuba,CUB,2019,12900
Cuba,CUB,2020,14800
Cuba,CUB,2021,13800
Cuba,CUB,2022,13700
Czechoslovakia,OWID_CZS,1977,4000
Czechoslovakia,OWID_CZS,1978,4000
Czechoslovakia,OWID_CZS,1979,3000
Czechoslovakia,OWID_CZS,1980,2200
Czechoslovakia,OWID_CZS,1981,1600
Czechoslovakia,OWID_CZS,1982,1500
Czechoslovakia,OWID_CZS,1983,3000
Czechoslovakia,OWID_CZS,1984,4500
Czechoslovakia,OWID_CZS,1985,4000
Czechoslovakia,OWID_CZS,1986,3800
Czechoslovakia,OWID_CZS,1987,3700
Czechoslovakia,OWID_CZS,1988,3500
Czechoslovakia,OWID_CZS,1989,2500
Czechoslovakia,OWID_CZS,1990,2600
Czechoslovakia,OWID_CZS,1991,2433
Czechoslovakia,OWID_CZS,1992,1500
Dominican Republic,DOM,1977,24905
Dominican Republic,DOM,1978,19760
Dominican Republic,DOM,1979,24553
Dominican Republic,DOM,1980,16552
Dominican Republic,DOM,1981,18679
Dominican Republic,DOM,1982,5484
Dominican Republic,DOM,1983,21202
Dominican Republic,DOM,1984,24219
Dominican Republic,DOM,1985,25802
Dominican Republic,DOM,1986,21989
Dominican Republic,DOM,1987,29100
Dominican Republic,DOM,1988,29345
Dominican Republic,DOM,1989,31264
Dominican Republic,DOM,1990,28701
Dominican Republic,DOM,1991,29063
Dominican Republic,DOM,1992,27535
Dominican Republic,DOM,1993,23863
Dominican Republic,DOM,1994,30757
Dominican Republic,DOM,1995,30897
Dominican Republic,DOM,1996,30384
Dominican Republic,DOM,1997,32554
Dominican Republic,DOM,1998,25222
Dominican Republic,DOM,1999,24456
Dominican Republic,DOM,2000,27829
Dominican Republic,DOM,2001,21662
