Entity,Code,Year,production|Niobium|Mine|tonnes
Brazil,BRA,2020,59800
Brazil,BRA,2021,78700
Brazil,BRA,2022,75600
Brazil,BRA,2023,75000
Canada,CAN,2020,6500
Canada,CAN,2021,7500
Canada,CAN,2022,6700
Canada,CAN,2023,7000
Democratic Republic of Congo,COD,2021,580
Democratic Republic of Congo,COD,2022,710
Democratic Republic of Congo,COD,2023,540
Other,,2020,1350
Other,,2021,170
Other,,2022,127
Other,,2023,150
Russia,RUS,2021,450
Russia,RUS,2022,381
Russia,RUS,2023,440
Rwanda,RWA,2021,158
Rwanda,RWA,2022,199
Rwanda,RWA,2023,190
United States,USA,2020,0
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
World,OWID_WRL,1964,2480
World,OWID_WRL,1965,3120
World,OWID_WRL,1966,5060
World,OWID_WRL,1967,5150
World,OWID_WRL,1968,4950
World,OWID_WRL,1969,6610
World,OWID_WRL,1970,8460
World,OWID_WRL,1971,3740
World,OWID_WRL,1972,5950
World,OWID_WRL,1973,14700
World,OWID_WRL,1974,9340
World,OWID_WRL,1975,7860
World,OWID_WRL,1976,9470
World,OWID_WRL,1977,8800
World,OWID_WRL,1978,9670
World,OWID_WRL,1979,14400
World,OWID_WRL,1980,15100
World,OWID_WRL,1981,14800
World,OWID_WRL,1982,10600
World,OWID_WRL,1983,8580
World,OWID_WRL,1984,13900
World,OWID_WRL,1985,14800
World,OWID_WRL,1986,14600
World,OWID_WRL,1987,9360
World,OWID_WRL,1988,16900
World,OWID_WRL,1989,14100
World,OWID_WRL,1990,15300
World,OWID_WRL,1991,15700
World,OWID_WRL,1992,15300
World,OWID_WRL,1993,12400
World,OWID_WRL,1994,15700
World,OWID_WRL,1995,15600
World,OWID_WRL,1996,16200
World,OWID_WRL,1997,20500
World,OWID_WRL,1998,26200
World,OWID_WRL,1999,24600
World,OWID_WRL,2000,24800
World,OWID_WRL,2001,31100
World,OWID_WRL,2002,33300
World,OWID_WRL,2003,40400
World,OWID_WRL,2004,27600
World,OWID_WRL,2005,43100
World,OWID_WRL,2006,52800
World,OWID_WRL,2007,62200
World,OWID_WRL,2008,106000
World,OWID_WRL,2009,67100
World,OWID_WRL,2010,49100
World,OWID_WRL,2011,50200
World,OWID_WRL,2012,62700
World,OWID_WRL,2013,59700
World,OWID_WRL,2014,69200
World,OWID_WRL,2015,65700
World,OWID_WRL,2016,58400
World,OWID_WRL,2017,66800
World,OWID_WRL,2018,78700
World,OWID_WRL,2019,96900
World,OWID_WRL,2020,67700
World,OWID_WRL,2021,87600
World,OWID_WRL,2022,83700
World,OWID_WRL,2023,83000
