Entity,Code,Year,unit value|Niobium|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1964,14100
World,OWID_WRL,1965,13900
World,OWID_WRL,1966,17600
World,OWID_WRL,1967,14900
World,OWID_WRL,1968,13600
World,OWID_WRL,1969,14700
World,OWID_WRL,1970,14800
World,OWID_WRL,1971,13200
World,OWID_WRL,1972,15900
World,OWID_WRL,1973,16400
World,OWID_WRL,1974,17100
World,OWID_WRL,1975,16300
World,OWID_WRL,1976,24300
World,OWID_WRL,1977,23400
World,OWID_WRL,1978,23900
World,OWID_WRL,1979,48100
World,OWID_WRL,1980,40600
World,OWID_WRL,1981,34600
World,OWID_WRL,1982,24700
World,OWID_WRL,1983,23900
World,OWID_WRL,1984,18500
World,OWID_WRL,1985,17900
World,OWID_WRL,1986,12900
World,OWID_WRL,1987,11000
World,OWID_WRL,1988,10600
World,OWID_WRL,1989,13500
World,OWID_WRL,1990,12800
World,OWID_WRL,1991,10700
World,OWID_WRL,1992,10400
World,OWID_WRL,1993,9250
World,OWID_WRL,1994,9020
World,OWID_WRL,1995,10100
World,OWID_WRL,1996,9830
World,OWID_WRL,1997,9610
World,OWID_WRL,1998,9460
World,OWID_WRL,1999,9260
World,OWID_WRL,2000,18700
