Entity,Code,Year,reserves|Rare earths|Mine|tonnes
Australia,AUS,2022,4200000
Australia,AUS,2023,5700000
Brazil,BRA,2022,21000000
Brazil,BRA,2023,21000000
Canada,CAN,2022,830000
Canada,CAN,2023,830000
China,CHN,2022,44000000
China,CHN,2023,44000000
Greenland,GRL,2022,1500000
Greenland,GRL,2023,1500000
India,IND,2022,6900000
India,IND,2023,6900000
Other,,2022,280000
Russia,RUS,2022,21000000
Russia,RUS,2023,10000000
South Africa,ZAF,2022,790000
South Africa,ZAF,2023,790000
Tanzania,TZA,2022,890000
Tanzania,TZA,2023,890000
Thailand,THA,2023,4500
United States,USA,2022,2300000
United States,USA,2023,1800000
Vietnam,VNM,2022,22000000
Vietnam,VNM,2023,22000000
World,OWID_WRL,2022,130000000
World,OWID_WRL,2023,110000000
