Entity,Code,Year,"production|Platinum group metals|Mine, ruthenium|tonnes"
Canada,CAN,2018,0.572
Canada,CAN,2019,0
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,0
Russia,RUS,2018,0.3
Russia,RUS,2019,0.3
Russia,RUS,2020,0.3
Russia,RUS,2021,0.3
Russia,RUS,2022,0.3
South Africa,ZAF,2018,27.999
South Africa,ZAF,2019,28.386
South Africa,ZAF,2020,25.058
South Africa,ZAF,2021,31.463
South Africa,ZAF,2022,27.9
Zimbabwe,ZWE,2018,1.165
Zimbabwe,ZWE,2019,0.791
Zimbabwe,ZWE,2020,1.026
Zimbabwe,ZWE,2021,1.239
Zimbabwe,ZWE,2022,1.341
