Entity,Code,Year,unit value|Silicon|Processing|constant 1998 US$ per tonne
World,OWID_WRL,1923,848
World,OWID_WRL,1924,966
World,OWID_WRL,1925,1180
World,OWID_WRL,1926,952
World,OWID_WRL,1927,1160
World,OWID_WRL,1928,1300
World,OWID_WRL,1929,1400
World,OWID_WRL,1930,1320
World,OWID_WRL,1931,1470
World,OWID_WRL,1932,1650
World,OWID_WRL,1933,1770
World,OWID_WRL,1934,1740
World,OWID_WRL,1935,1720
World,OWID_WRL,1936,1720
World,OWID_WRL,1937,1920
World,OWID_WRL,1938,2440
World,OWID_WRL,1939,2650
World,OWID_WRL,1940,2730
World,OWID_WRL,1941,1480
World,OWID_WRL,1942,1450
World,OWID_WRL,1943,1800
World,OWID_WRL,1944,1830
World,OWID_WRL,1945,1300
World,OWID_WRL,1946,1800
World,OWID_WRL,1947,1750
World,OWID_WRL,1948,1950
World,OWID_WRL,1949,2130
World,OWID_WRL,1950,1570
World,OWID_WRL,1951,1600
World,OWID_WRL,1952,2030
World,OWID_WRL,1953,2540
World,OWID_WRL,1954,2220
World,OWID_WRL,1955,2250
World,OWID_WRL,1956,2240
World,OWID_WRL,1957,2780
World,OWID_WRL,1958,2350
World,OWID_WRL,1959,1800
World,OWID_WRL,1960,1860
World,OWID_WRL,1961,2500
World,OWID_WRL,1962,2470
World,OWID_WRL,1963,2220
World,OWID_WRL,1964,2060
World,OWID_WRL,1965,2050
World,OWID_WRL,1966,1920
World,OWID_WRL,1967,1830
World,OWID_WRL,1968,1800
World,OWID_WRL,1969,1800
World,OWID_WRL,1970,1550
World,OWID_WRL,1971,1620
World,OWID_WRL,1972,1610
World,OWID_WRL,1973,1770
World,OWID_WRL,1974,2810
World,OWID_WRL,1975,1990
World,OWID_WRL,1976,2320
World,OWID_WRL,1977,2240
World,OWID_WRL,1978,1830
World,OWID_WRL,1979,1850
World,OWID_WRL,1980,1860
World,OWID_WRL,1981,1740
World,OWID_WRL,1982,1630
World,OWID_WRL,1983,1430
World,OWID_WRL,1984,1450
World,OWID_WRL,1985,1410
World,OWID_WRL,1986,1440
World,OWID_WRL,1987,1490
World,OWID_WRL,1988,1870
World,OWID_WRL,1989,1590
World,OWID_WRL,1990,1330
World,OWID_WRL,1991,1300
World,OWID_WRL,1992,1210
World,OWID_WRL,1993,1280
World,OWID_WRL,1994,1230
World,OWID_WRL,1995,1470
World,OWID_WRL,1996,1750
World,OWID_WRL,1997,1550
World,OWID_WRL,1998,1360
World,OWID_WRL,1999,1200
World,OWID_WRL,2000,1080
World,OWID_WRL,2001,1050
World,OWID_WRL,2002,1010
World,OWID_WRL,2003,1100
World,OWID_WRL,2004,1320
World,OWID_WRL,2005,1350
World,OWID_WRL,2006,1020
World,OWID_WRL,2007,1130
World,OWID_WRL,2008,1720
World,OWID_WRL,2009,1270
World,OWID_WRL,2010,1660
World,OWID_WRL,2011,2410
World,OWID_WRL,2012,1920
World,OWID_WRL,2013,1800
World,OWID_WRL,2014,1900
World,OWID_WRL,2015,1730
World,OWID_WRL,2016,1340
World,OWID_WRL,2017,1590
World,OWID_WRL,2018,1810
World,OWID_WRL,2019,1550
World,OWID_WRL,2020,1490
World,OWID_WRL,2021,2590
World,OWID_WRL,2022,4100
