Entity,Code,Year,unit value|Tin|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,12900
World,OWID_WRL,1901,7220
World,OWID_WRL,1902,11200
World,OWID_WRL,1903,11300
World,OWID_WRL,1904,11200
World,OWID_WRL,1905,12600
World,OWID_WRL,1906,15900
World,OWID_WRL,1907,14800
World,OWID_WRL,1908,11800
World,OWID_WRL,1909,11900
World,OWID_WRL,1910,13200
World,OWID_WRL,1911,16400
World,OWID_WRL,1912,17200
World,OWID_WRL,1913,16100
World,OWID_WRL,1914,12300
World,OWID_WRL,1915,13700
World,OWID_WRL,1916,14300
World,OWID_WRL,1917,17400
World,OWID_WRL,1918,21100
World,OWID_WRL,1919,13200
World,OWID_WRL,1920,8660
World,OWID_WRL,1921,5990
World,OWID_WRL,1922,6980
World,OWID_WRL,1923,8960
World,OWID_WRL,1924,10500
World,OWID_WRL,1925,11900
World,OWID_WRL,1926,13200
World,OWID_WRL,1927,13300
World,OWID_WRL,1928,10600
World,OWID_WRL,1929,9490
World,OWID_WRL,1930,6850
World,OWID_WRL,1931,5790
World,OWID_WRL,1932,5770
World,OWID_WRL,1933,10800
World,OWID_WRL,1934,14000
World,OWID_WRL,1935,13200
World,OWID_WRL,1936,12000
World,OWID_WRL,1937,13600
World,OWID_WRL,1938,10800
World,OWID_WRL,1939,13000
World,OWID_WRL,1940,12800
World,OWID_WRL,1941,12700
World,OWID_WRL,1942,11500
World,OWID_WRL,1943,10800
World,OWID_WRL,1944,10600
World,OWID_WRL,1945,10400
World,OWID_WRL,1946,10000
World,OWID_WRL,1947,12500
World,OWID_WRL,1948,14800
World,OWID_WRL,1949,15000
World,OWID_WRL,1950,14200
World,OWID_WRL,1951,17500
World,OWID_WRL,1952,16300
World,OWID_WRL,1953,12900
World,OWID_WRL,1954,12300
World,OWID_WRL,1955,12700
World,OWID_WRL,1956,13400
World,OWID_WRL,1957,12300
World,OWID_WRL,1958,11800
World,OWID_WRL,1959,12600
World,OWID_WRL,1960,12300
World,OWID_WRL,1961,13700
World,OWID_WRL,1962,13700
World,OWID_WRL,1963,13700
World,OWID_WRL,1964,18300
World,OWID_WRL,1965,20400
World,OWID_WRL,1966,18200
World,OWID_WRL,1967,16500
World,OWID_WRL,1968,15300
World,OWID_WRL,1969,16100
World,OWID_WRL,1970,16100
World,OWID_WRL,1971,14800
World,OWID_WRL,1972,15300
World,OWID_WRL,1973,18400
World,OWID_WRL,1974,28900
World,OWID_WRL,1975,22700
World,OWID_WRL,1976,24000
World,OWID_WRL,1977,31700
World,OWID_WRL,1978,34700
World,OWID_WRL,1979,36400
World,OWID_WRL,1980,36900
World,OWID_WRL,1981,29000
World,OWID_WRL,1982,24400
World,OWID_WRL,1983,23600
World,OWID_WRL,1984,21600
World,OWID_WRL,1985,19900
World,OWID_WRL,1986,12600
World,OWID_WRL,1987,13200
World,OWID_WRL,1988,13400
World,OWID_WRL,1989,15100
World,OWID_WRL,1990,10600
World,OWID_WRL,1991,9600
World,OWID_WRL,1992,10300
World,OWID_WRL,1993,8700
World,OWID_WRL,1994,8950
World,OWID_WRL,1995,9800
World,OWID_WRL,1996,9450
World,OWID_WRL,1997,8540
World,OWID_WRL,1998,8230
World,OWID_WRL,1999,7900
World,OWID_WRL,2000,7730
World,OWID_WRL,2001,6390
World,OWID_WRL,2002,5830
World,OWID_WRL,2003,6640
World,OWID_WRL,2004,10400
World,OWID_WRL,2005,8850
World,OWID_WRL,2006,10100
World,OWID_WRL,2007,15600
World,OWID_WRL,2008,18900
World,OWID_WRL,2009,14100
World,OWID_WRL,2010,20400
World,OWID_WRL,2011,25100
World,OWID_WRL,2012,20100
World,OWID_WRL,2013,16000
World,OWID_WRL,2014,15500
World,OWID_WRL,2015,11500
World,OWID_WRL,2016,12600
World,OWID_WRL,2017,13700
World,OWID_WRL,2018,13400
World,OWID_WRL,2019,12199.751
World,OWID_WRL,2020,11100
World,OWID_WRL,2021,21000
