Entity,Code,Year,"production|Titanium|Mine, ilmenite|tonnes"
Australia,AUS,2020,480000
Australia,AUS,2021,600000
Australia,AUS,2022,400000
Australia,AUS,2023,400000
Brazil,BRA,2020,34000
Brazil,BRA,2021,33000
Brazil,BRA,2022,28000
Brazil,BRA,2023,54000
Canada,CAN,2020,595000
Canada,CAN,2021,430000
Canada,CAN,2022,520000
Canada,CAN,2023,500000
China,CHN,2020,2800000
China,CHN,2021,3400000
China,CHN,2022,3140000
China,CHN,2023,3100000
India,IND,2020,174000
India,IND,2021,204000
India,IND,2022,210000
India,IND,2023,210000
Kenya,KEN,2020,201000
Kenya,KEN,2021,181000
Kenya,KEN,2022,190000
Kenya,KEN,2023,140000
Madagascar,MDG,2020,254000
Madagascar,MDG,2021,414000
Madagascar,MDG,2022,320000
Madagascar,MDG,2023,320000
Mozambique,MOZ,2020,965000
Mozambique,MOZ,2021,1100000
Mozambique,MOZ,2022,1400000
Mozambique,MOZ,2023,1600000
Norway,NOR,2020,444000
Norway,NOR,2021,468000
Norway,NOR,2022,410000
Norway,NOR,2023,430000
Other,,2020,67000
Other,,2021,137000
Other,,2022,110000
Other,,2023,110000
Senegal,SEN,2020,300000
Senegal,SEN,2021,482000
Senegal,SEN,2022,410000
Senegal,SEN,2023,340000
South Africa,ZAF,2020,1020000
South Africa,ZAF,2021,900000
South Africa,ZAF,2022,1100000
South Africa,ZAF,2023,1000000
Ukraine,UKR,2020,464000
Ukraine,UKR,2021,316000
Ukraine,UKR,2022,190000
Ukraine,UKR,2023,60000
United States,USA,2022,200000
United States,USA,2023,200000
Vietnam,VNM,2020,138000
Vietnam,VNM,2021,122000
Vietnam,VNM,2022,170000
Vietnam,VNM,2023,140000
World,OWID_WRL,2020,8000000
World,OWID_WRL,2021,8900000
World,OWID_WRL,2022,8800000
World,OWID_WRL,2023,8600000
