Entity,Code,Year,"reserves|Titanium|Mine, ilmenite|tonnes"
Australia,AUS,2022,160000000
Australia,AUS,2023,180000000
Brazil,BRA,2022,43000000
Brazil,BRA,2023,43000000
Canada,CAN,2022,31000000
Canada,CAN,2023,52000000
China,CHN,2022,190000000
China,CHN,2023,210000000
India,IND,2022,85000000
India,IND,2023,85000000
Kenya,KEN,2022,390000
Kenya,KEN,2023,130000
Madagascar,MDG,2022,22000000
Madagascar,MDG,2023,27000000
Mozambique,MOZ,2022,26000000
Mozambique,MOZ,2023,22000000
Norway,NOR,2022,37000000
Norway,NOR,2023,37000000
Other,,2022,14000000
Other,,2023,1200000
South Africa,ZAF,2022,30000000
South Africa,ZAF,2023,28000000
Ukraine,UKR,2022,5900000
Ukraine,UKR,2023,5900000
United States,USA,2023,2000000
Vietnam,VNM,2022,1600000
Vietnam,VNM,2023,1600000
World,OWID_WRL,2022,650000000
World,OWID_WRL,2023,690000000
