Entity,Code,Year,production|Tungsten|Mine|tonnes
Argentina,ARG,1977,70
Argentina,ARG,1978,97
Argentina,ARG,1979,59
Argentina,ARG,1980,35
Argentina,ARG,1981,11
Argentina,ARG,1982,17
Argentina,ARG,1983,41
Argentina,ARG,1984,37
Argentina,ARG,1985,17
Argentina,ARG,1986,20
Australia,AUS,1977,2358
Australia,AUS,1978,2707
Australia,AUS,1979,3193
Australia,AUS,1980,3575
Australia,AUS,1981,3517
Australia,AUS,1982,2618
Australia,AUS,1983,2015
Australia,AUS,1984,1733
Australia,AUS,1985,1970
Australia,AUS,1986,1600
Australia,AUS,1987,1150
Australia,AUS,1988,1281
Australia,AUS,1989,1371
Australia,AUS,1990,1086
Australia,AUS,1991,237
Australia,AUS,1992,159
Australia,AUS,1993,113
Australia,AUS,1994,21
Australia,AUS,1995,31
Australia,AUS,1996,61
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2005,44
Australia,AUS,2006,13
Australia,AUS,2007,30
Australia,AUS,2008,11
Australia,AUS,2009,17
Australia,AUS,2010,16
Australia,AUS,2011,17
Australia,AUS,2012,49
Australia,AUS,2013,296
Australia,AUS,2014,383
Australia,AUS,2015,297
Australia,AUS,2016,208
Australia,AUS,2017,5
Australia,AUS,2018,5
Australia,AUS,2019,5
Australia,AUS,2020,5
Australia,AUS,2021,5
Australia,AUS,2022,200
Australia,AUS,2023,800
Austria,AUT,1977,1405
Austria,AUT,1978,1550
Austria,AUT,1979,1669
Austria,AUT,1980,2150
Austria,AUT,1981,1322
Austria,AUT,1982,1699
Austria,AUT,1983,1405
Austria,AUT,1984,1911
Austria,AUT,1985,1967
Austria,AUT,1986,1454
Austria,AUT,1987,970
Austria,AUT,1988,950
Austria,AUT,1989,1177
Austria,AUT,1990,1043
Austria,AUT,1991,994
Austria,AUT,1992,1134
Austria,AUT,1993,506
Austria,AUT,1994,0
Austria,AUT,1995,568
Austria,AUT,1996,1072
Austria,AUT,1997,1138
Austria,AUT,1998,1077
Austria,AUT,1999,1218
Austria,AUT,2000,1421
Austria,AUT,2001,1429
Austria,AUT,2002,1377
Austria,AUT,2003,1381
Austria,AUT,2004,1335
Austria,AUT,2005,1280
