Entity,Code,Year,unit value|Tungsten|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,11000
World,OWID_WRL,1901,7000
World,OWID_WRL,1902,8000
World,OWID_WRL,1903,6300
World,OWID_WRL,1904,10000
World,OWID_WRL,1905,14000
World,OWID_WRL,1906,16000
World,OWID_WRL,1907,22000
World,OWID_WRL,1908,14000
World,OWID_WRL,1909,16000
World,OWID_WRL,1910,18700
World,OWID_WRL,1911,15000
World,OWID_WRL,1912,14800
World,OWID_WRL,1913,16600
World,OWID_WRL,1914,16600
World,OWID_WRL,1915,65800
World,OWID_WRL,1916,70700
World,OWID_WRL,1917,32600
World,OWID_WRL,1918,35100
World,OWID_WRL,1919,23600
World,OWID_WRL,1920,8910
World,OWID_WRL,1921,10900
World,OWID_WRL,1922,12600
World,OWID_WRL,1923,13300
World,OWID_WRL,1924,11200
World,OWID_WRL,1925,13700
World,OWID_WRL,1926,14200
World,OWID_WRL,1927,13500
World,OWID_WRL,1928,13700
World,OWID_WRL,1929,17300
World,OWID_WRL,1930,16400
World,OWID_WRL,1931,16400
World,OWID_WRL,1932,15300
World,OWID_WRL,1933,16800
World,OWID_WRL,1934,24600
World,OWID_WRL,1935,22100
World,OWID_WRL,1936,24200
World,OWID_WRL,1937,30700
World,OWID_WRL,1938,27800
World,OWID_WRL,1939,27900
World,OWID_WRL,1940,33400
World,OWID_WRL,1941,36100
World,OWID_WRL,1942,33500
World,OWID_WRL,1943,32900
World,OWID_WRL,1944,30100
World,OWID_WRL,1945,29200
World,OWID_WRL,1946,23400
World,OWID_WRL,1947,23800
World,OWID_WRL,1948,24800
World,OWID_WRL,1949,25100
World,OWID_WRL,1950,26600
World,OWID_WRL,1951,53200
World,OWID_WRL,1952,54100
World,OWID_WRL,1953,52800
World,OWID_WRL,1954,52800
World,OWID_WRL,1955,52300
World,OWID_WRL,1956,48300
World,OWID_WRL,1957,19900
World,OWID_WRL,1958,13800
World,OWID_WRL,1959,16000
World,OWID_WRL,1960,17100
World,OWID_WRL,1961,16200
World,OWID_WRL,1962,17200
World,OWID_WRL,1963,15700
World,OWID_WRL,1964,14800
World,OWID_WRL,1965,19700
World,OWID_WRL,1966,23200
World,OWID_WRL,1967,20000
World,OWID_WRL,1968,23200
World,OWID_WRL,1969,23300
World,OWID_WRL,1970,23700
World,OWID_WRL,1971,26200
World,OWID_WRL,1972,22100
World,OWID_WRL,1973,22000
World,OWID_WRL,1974,34800
World,OWID_WRL,1975,35400
World,OWID_WRL,1976,40100
World,OWID_WRL,1977,54300
World,OWID_WRL,1978,45300
World,OWID_WRL,1979,41600
World,OWID_WRL,1980,36600
World,OWID_WRL,1981,31500
World,OWID_WRL,1982,23700
World,OWID_WRL,1983,17000
World,OWID_WRL,1984,17900
World,OWID_WRL,1985,14100
World,OWID_WRL,1986,10500
World,OWID_WRL,1987,9110
World,OWID_WRL,1988,10300
World,OWID_WRL,1989,13900
World,OWID_WRL,1990,10600
World,OWID_WRL,1991,11800
World,OWID_WRL,1992,10800
World,OWID_WRL,1993,7690
World,OWID_WRL,1994,10400
World,OWID_WRL,1995,13200
World,OWID_WRL,1996,10800
World,OWID_WRL,1997,9810
World,OWID_WRL,1998,8300
World,OWID_WRL,1999,6920
World,OWID_WRL,2000,7840
World,OWID_WRL,2001,11500
World,OWID_WRL,2002,8230
World,OWID_WRL,2003,7720
World,OWID_WRL,2004,10000
World,OWID_WRL,2005,24900
World,OWID_WRL,2006,29900
World,OWID_WRL,2007,28200
World,OWID_WRL,2008,26600
World,OWID_WRL,2009,19600
World,OWID_WRL,2010,20200
World,OWID_WRL,2011,33900
World,OWID_WRL,2012,40200
World,OWID_WRL,2013,32600
World,OWID_WRL,2014,31100
World,OWID_WRL,2015,26000
World,OWID_WRL,2016,17000
World,OWID_WRL,2017,23300
World,OWID_WRL,2018,29800
World,OWID_WRL,2019,24700
