Entity,Code,Year,production|Vanadium|Mine|tonnes
Australia,AUS,2020,0
Australia,AUS,2021,0
Australia,AUS,2022,0
Australia,AUS,2023,0
Brazil,BRA,2020,6620
Brazil,BRA,2021,5780
Brazil,BRA,2022,5840
Brazil,BRA,2023,6400
China,CHN,2020,70000
China,CHN,2021,70300
China,CHN,2022,66900
China,CHN,2023,68000
Russia,RUS,2020,19500
Russia,RUS,2021,20100
Russia,RUS,2022,20000
Russia,RUS,2023,20000
South Africa,ZAF,2020,8580
South Africa,ZAF,2021,8800
South Africa,ZAF,2022,8870
South Africa,ZAF,2023,9100
United States,USA,1901,6.8
United States,USA,1902,69.1
United States,USA,1907,18.9
United States,USA,1911,61.2
United States,USA,1912,272
United States,USA,1913,392
United States,USA,1914,410
United States,USA,1915,569
United States,USA,1916,417
United States,USA,1917,439
United States,USA,1918,250
United States,USA,1919,258
United States,USA,1920,478
United States,USA,1921,182
United States,USA,1922,23.5
United States,USA,1923,57.4
United States,USA,1925,118
United States,USA,1926,300
United States,USA,1932,245
United States,USA,1933,1.1
United States,USA,1934,5.9
United States,USA,1935,23.1
United States,USA,1936,63.5
United States,USA,1937,493
United States,USA,1938,732
United States,USA,1939,900
United States,USA,1940,981
United States,USA,1941,1140
United States,USA,1942,2010
United States,USA,1943,2530
United States,USA,1944,1600
United States,USA,1945,1340
United States,USA,1946,577
United States,USA,1947,1280
United States,USA,1948,811
United States,USA,1949,3190
United States,USA,1950,2090
United States,USA,1951,2800
United States,USA,1952,3270
United States,USA,1953,4210
United States,USA,1954,2860
United States,USA,1955,2980
United States,USA,1956,3510
United States,USA,1957,3350
United States,USA,1958,2750
United States,USA,1959,3710
United States,USA,1960,4510
United States,USA,1961,4850
United States,USA,1962,4730
United States,USA,1963,3500
United States,USA,1964,3960
United States,USA,1965,4740
United States,USA,1966,4690
United States,USA,1967,4500
United States,USA,1968,5880
United States,USA,1969,5060
United States,USA,1970,4830
United States,USA,1971,4770
United States,USA,1972,4430
United States,USA,1973,4410
United States,USA,1974,4870
United States,USA,1975,4410
United States,USA,1976,5620
United States,USA,1977,4730
United States,USA,1978,5720
United States,USA,1979,6690
United States,USA,1980,6370
United States,USA,1981,7500
United States,USA,1982,5790
United States,USA,1983,3020
United States,USA,1984,3920
United States,USA,1985,2450
United States,USA,1986,2110
United States,USA,1987,2280
United States,USA,1988,2950
United States,USA,1989,2390
United States,USA,1990,2310
United States,USA,1991,2250
United States,USA,1992,1350
United States,USA,1993,2870
United States,USA,1994,2830
United States,USA,1995,1990
United States,USA,1996,3730
United States,USA,2000,0
United States,USA,2001,0
United States,USA,2002,0
United States,USA,2003,0
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
United States,USA,2008,520
United States,USA,2009,230
United States,USA,2010,1060
United States,USA,2011,590
United States,USA,2012,106
United States,USA,2013,591
United States,USA,2014,0
United States,USA,2015,0
United States,USA,2016,0
United States,USA,2017,0
United States,USA,2018,0
United States,USA,2019,460
United States,USA,2020,17
United States,USA,2021,0
United States,USA,2022,0
United States,USA,2023,0
World,OWID_WRL,1912,1040
World,OWID_WRL,1915,1360
World,OWID_WRL,1916,1190
World,OWID_WRL,1917,1260
World,OWID_WRL,1918,484
World,OWID_WRL,1919,578
World,OWID_WRL,1920,1640
World,OWID_WRL,1925,1170
World,OWID_WRL,1926,1700
World,OWID_WRL,1932,480
World,OWID_WRL,1933,300
World,OWID_WRL,1934,118
World,OWID_WRL,1935,416
World,OWID_WRL,1936,975
World,OWID_WRL,1937,1950
World,OWID_WRL,1938,2590
World,OWID_WRL,1939,2910
World,OWID_WRL,1940,3020
World,OWID_WRL,1941,2770
World,OWID_WRL,1942,3870
World,OWID_WRL,1943,4380
World,OWID_WRL,1944,3500
World,OWID_WRL,1945,2670
World,OWID_WRL,1946,1390
World,OWID_WRL,1947,1740
World,OWID_WRL,1960,5040
World,OWID_WRL,1961,7850
World,OWID_WRL,1962,6080
World,OWID_WRL,1963,6500
World,OWID_WRL,1964,7170
