Entity,Code,Year,unit value|Zinc|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,1900
World,OWID_WRL,1901,1800
World,OWID_WRL,1902,2000
World,OWID_WRL,1903,2200
World,OWID_WRL,1904,2000
World,OWID_WRL,1905,2400
World,OWID_WRL,1906,2500
World,OWID_WRL,1907,2200
World,OWID_WRL,1908,1800
World,OWID_WRL,1909,2200
World,OWID_WRL,1910,2100
World,OWID_WRL,1911,2200
World,OWID_WRL,1912,2600
World,OWID_WRL,1913,2030
World,OWID_WRL,1914,1830
World,OWID_WRL,1915,5050
World,OWID_WRL,1916,4480
World,OWID_WRL,1917,2500
World,OWID_WRL,1918,1900
World,OWID_WRL,1919,1450
World,OWID_WRL,1920,1400
World,OWID_WRL,1921,945
World,OWID_WRL,1922,1220
World,OWID_WRL,1923,1410
World,OWID_WRL,1924,1320
World,OWID_WRL,1925,1580
World,OWID_WRL,1926,1500
World,OWID_WRL,1927,1290
World,OWID_WRL,1928,1270
World,OWID_WRL,1929,1360
World,OWID_WRL,1930,990
World,OWID_WRL,1931,857
World,OWID_WRL,1932,762
World,OWID_WRL,1933,1120
World,OWID_WRL,1934,1120
World,OWID_WRL,1935,1140
World,OWID_WRL,1936,1270
World,OWID_WRL,1937,1630
World,OWID_WRL,1938,1180
World,OWID_WRL,1939,1320
World,OWID_WRL,1940,1630
World,OWID_WRL,1941,1830
World,OWID_WRL,1942,1820
World,OWID_WRL,1943,1720
World,OWID_WRL,1944,1690
World,OWID_WRL,1945,1650
World,OWID_WRL,1946,1600
World,OWID_WRL,1947,1690
World,OWID_WRL,1948,2020
World,OWID_WRL,1949,1840
World,OWID_WRL,1950,2070
World,OWID_WRL,1951,2480
World,OWID_WRL,1952,2190
World,OWID_WRL,1953,1460
World,OWID_WRL,1954,1430
World,OWID_WRL,1955,1650
World,OWID_WRL,1956,1780
World,OWID_WRL,1957,1460
World,OWID_WRL,1958,1280
World,OWID_WRL,1959,1410
World,OWID_WRL,1960,1570
World,OWID_WRL,1961,1390
World,OWID_WRL,1962,1380
World,OWID_WRL,1963,1410
World,OWID_WRL,1964,1570
World,OWID_WRL,1965,1660
World,OWID_WRL,1966,1610
World,OWID_WRL,1967,1490
World,OWID_WRL,1968,1400
World,OWID_WRL,1969,1430
World,OWID_WRL,1970,1420
World,OWID_WRL,1971,1430
World,OWID_WRL,1972,1520
World,OWID_WRL,1973,1670
World,OWID_WRL,1974,2620
World,OWID_WRL,1975,2600
World,OWID_WRL,1976,2340
World,OWID_WRL,1977,2040
World,OWID_WRL,1978,1710
World,OWID_WRL,1979,1850
World,OWID_WRL,1980,1630
World,OWID_WRL,1981,1760
World,OWID_WRL,1982,1430
World,OWID_WRL,1983,1490
World,OWID_WRL,1984,1680
World,OWID_WRL,1985,1350
World,OWID_WRL,1986,1250
World,OWID_WRL,1987,1330
World,OWID_WRL,1988,1830
World,OWID_WRL,1989,2380
World,OWID_WRL,1990,2050
World,OWID_WRL,1991,1390
World,OWID_WRL,1992,1500
World,OWID_WRL,1993,1150
World,OWID_WRL,1994,1200
World,OWID_WRL,1995,1320
World,OWID_WRL,1996,1170
World,OWID_WRL,1997,1440
World,OWID_WRL,1998,1130
World,OWID_WRL,1999,1150
World,OWID_WRL,2000,1160
World,OWID_WRL,2001,892
World,OWID_WRL,2002,772
World,OWID_WRL,2003,793
World,OWID_WRL,2004,999
World,OWID_WRL,2005,1240
World,OWID_WRL,2006,2830
World,OWID_WRL,2007,2670
World,OWID_WRL,2008,1480
World,OWID_WRL,2009,1310
World,OWID_WRL,2010,1680
World,OWID_WRL,2011,1700
World,OWID_WRL,2012,1500
World,OWID_WRL,2013,1480
World,OWID_WRL,2014,1630
World,OWID_WRL,2015,1450
World,OWID_WRL,2016,1520
World,OWID_WRL,2017,2040
World,OWID_WRL,2018,2020
World,OWID_WRL,2019,1750
World,OWID_WRL,2020,1540
World,OWID_WRL,2021,1940
World,OWID_WRL,2022,2330
