Source,Country,Type,Prod_2022,Prod_est_2023,FileName,Unit
MCS2024,United States and Canada,"Plant capacity, fused aluminum oxide",60000,60000,mcs2024-abras_world.csv,Cap_t_est_2022
MCS2024,World total (rounded),"Plant capacity, fused aluminum oxide",1310000,1300000,mcs2024-abras_world.csv,Cap_t_est_2022
MCS2024,United States and Canada,"Plant capacity, silicon carbide",0,0,mcs2024-abras_world.csv,Cap_t_est_2022
MCS2024,World total (rounded),"Plant capacity, silicon carbide",1000000,1000000,mcs2024-abras_world.csv,Cap_t_est_2022
MCS 2024,Canada,"Smelter production, aluminum",2770.0,3000.0,mcs2024-alumi_world.csv,Prod_kt_2022
MCS 2024,World total (rounded),"Smelter production, aluminum",68400.0,70000.0,mcs2024-alumi_world.csv,Prod_kt_2022
MCS2024,Canada,"Mine production, contained antimony",2,2,mcs2024-antim_world.csv,Prod_t_2022
MCS2024,World total (rounded)10,"Mine production, contained antimony",83100,83000,mcs2024-antim_world.csv,Prod_t_2022
MCS2024,Canada,"Refinery production, alumina - calcined equivalent weights","1,360","1,600",mcs2024-bauxi_world.csv,Prod_kt_2022
MCS2024,World total (rounded),"Refinery production, alumina - calcined equivalent weights","140,000","140,000",mcs2024-bauxi_world.csv,Prod_kt_2022
MCS2024,Canada,"Mine production, bauxite, dry tons",0,0,mcs2024-bauxi_world.csv,Prod_kt_2022
MCS2024,World total (rounded),"Mine production, bauxite, dry tons","400,000","400,000",mcs2024-bauxi_world.csv,Prod_kt_2022
MCS2024,Canada,Refinery production,1800.0,1800.0,mcs2024-cadmi_world.csv,Prod_t_2022
MCS2024,World total (rounded),Refinery production,22600.0,23000.0,mcs2024-cadmi_world.csv,Prod_t_2022
MCS2024,Canada,"Mine production, metric tons of contained cobalt",3060,2100,mcs2024-cobal_world.csv,Prod_t_est_2022
MCS2024,World total (rounded),"Mine production, metric tons of contained cobalt",197000,230000,mcs2024-cobal_world.csv,Prod_t_est_2022
MCS2024,Canada,"Mine production, recoverable copper content",520.0,480.0,mcs2024-coppe_world.csv,Prod_kt_2022
MCS2024,World total (rounded),"Mine production, recoverable copper content",21900.0,22000.0,mcs2024-coppe_world.csv,Prod_kt_2022
MCS2024,Canada,"Refinery production, copper",278.0,310.0,mcs2024-coppe_world.csv,Prod_kt_2022
MCS2024,World total (rounded),"Refinery production, copper",25900.0,27000.0,mcs2024-coppe_world.csv,Prod_kt_2022
MCS2024,Canada,Iron ore - mine production - usable ore -thousand metric tons,69000,70000,mcs2024-feore_world.csv,Prod_kt_2022
MCS2024,World total (rounded),Iron ore - mine production - usable ore -thousand metric tons,2500000,2500000,mcs2024-feore_world.csv,Prod_kt_2022
MCS2024,Canada,Iron ore - mine production - iron content - thousand metric tons,41400,42000,mcs2024-feore_world.csv,Prod_kt_2022
MCS2024,World total (rounded),Iron ore - mine production - iron content - thousand metric tons,1540000,1500000,mcs2024-feore_world.csv,Prod_kt_2022
MCS2024,Canada,"Pig iron, million metric tons",6.0,6.0,mcs2024-feste_world.csv,Prod_mmt_2022
MCS2024,World total (rounded),"Pig iron, million metric tons",1300.0,1300.0,mcs2024-feste_world.csv,Prod_mmt_2022
