Commodity,Production Volume (kg),World Share (%)
Aluminium,3033966000.0,4.408192891199321
Antimony,2000.0,0.00240873890474642
Cadmium,1800000.0,7.8250662957005614
Cobalt,3063000.0,1.844847316749985
Copper,510782000.0,2.298189324741366
Fluorspar,20000000.0,0.21653418203184202
Gold,205831.0,6.193863401646152
Graphite,13000000.0,0.7525386602264794
Indium,39000.0,3.8690476190476186
Iron (Fe),42073900000.0,2.7180354353397176
Lead,8247000.0,0.1756942447192663
Molybdenum,1146000.0,0.4317034581481202
Nickel,143266000.0,4.409682550626428
Niobium (Nb2O5),6800000.0,5.75252307353924
Palladium,16099.0,7.969328554739323
Platinum,5490.0,2.9996393876146037
Potash (K2O),15116101000.0,36.02715727846437
Rhodium,500.0,2.1996392591614975
Selenium,110000.0,2.9451137884872827
Silver,334480.0,1.2581844242275282
Tellurium,24000.0,3.5242290748898677
Titanium (TiO2),540000000.0,6.03824625175864
Uranium (U3O8),6168000.0,11.01979561209176
Zinc,208147000.0,1.6309807275869537
